å¼€å§‹ s5_t100 / mode_sdas_dpicï¼Œæ—¶é—´ï¼š2026-05-25T04:41:58
å‘½ä»¤ F:\Anaconda\python.exe -u main.py


ÔËÐÐËã·¨£ºMODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.0000, feasible ratio=0.00
Gen  31: profit_max=489.00, profit_avg=441.21, load_min=188.56, att_min=3423.67, quality_max=576.95, quality_avg=455.96, tasks_avg=82.10, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  32: profit_max=489.00, profit_avg=442.35, load_min=751.76, att_min=3423.67, quality_max=576.95, quality_avg=456.29, tasks_avg=82.26, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  33: profit_max=489.00, profit_avg=442.83, load_min=751.76, att_min=3370.33, quality_max=576.95, quality_avg=455.27, tasks_avg=82.21, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  34: profit_max=489.00, profit_avg=442.96, load_min=751.76, att_min=3370.33, quality_max=576.95, quality_avg=454.49, tasks_avg=82.21, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  35: profit_max=489.00, profit_avg=443.47, load_min=751.76, att_min=3370.33, quality_max=576.95, quality_avg=455.31, tasks_avg=82.28, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  36: profit_max=489.00, profit_avg=443.17, load_min=751.76, att_min=3370.33, quality_max=576.95, quality_avg=455.50, tasks_avg=82.15, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  37: profit_max=489.00, profit_avg=443.35, load_min=751.76, att_min=3370.33, quality_max=576.95, quality_avg=456.07, tasks_avg=82.19, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  38: profit_max=489.00, profit_avg=442.41, load_min=751.76, att_min=3370.33, quality_max=576.95, quality_avg=455.58, tasks_avg=82.05, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  39: profit_max=489.00, profit_avg=442.77, load_min=521.76, att_min=3370.33, quality_max=576.95, quality_avg=458.09, tasks_avg=82.16, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  40: profit_max=489.00, profit_avg=443.17, load_min=521.76, att_min=3370.33, quality_max=576.95, quality_avg=457.62, tasks_avg=82.25, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  41: profit_max=489.00, profit_avg=442.89, load_min=521.76, att_min=3370.33, quality_max=576.95, quality_avg=456.83, tasks_avg=82.18, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  42: profit_max=489.00, profit_avg=442.94, load_min=521.76, att_min=3370.33, quality_max=533.97, quality_avg=457.77, tasks_avg=82.17, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  43: profit_max=500.00, profit_avg=443.03, load_min=521.76, att_min=3370.33, quality_max=586.52, quality_avg=458.61, tasks_avg=82.16, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  44: profit_max=500.00, profit_avg=441.91, load_min=521.76, att_min=3370.33, quality_max=586.52, quality_avg=459.51, tasks_avg=82.08, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  45: profit_max=489.00, profit_avg=441.75, load_min=521.76, att_min=3370.33, quality_max=533.97, quality_avg=458.51, tasks_avg=82.07, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  46: profit_max=489.00, profit_avg=441.43, load_min=751.76, att_min=3370.33, quality_max=554.52, quality_avg=460.67, tasks_avg=82.08, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  47: profit_max=481.00, profit_avg=441.36, load_min=751.76, att_min=3370.33, quality_max=554.52, quality_avg=460.71, tasks_avg=82.03, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  48: profit_max=481.00, profit_avg=441.56, load_min=751.76, att_min=3370.33, quality_max=554.52, quality_avg=459.52, tasks_avg=82.06, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  49: profit_max=481.00, profit_avg=440.35, load_min=751.76, att_min=3236.60, quality_max=554.52, quality_avg=457.15, tasks_avg=81.81, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  50: profit_max=481.00, profit_avg=439.69, load_min=751.76, att_min=3236.60, quality_max=533.89, quality_avg=453.82, tasks_avg=81.74, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  51: profit_max=481.00, profit_avg=439.67, load_min=751.76, att_min=3236.60, quality_max=533.89, quality_avg=452.08, tasks_avg=81.67, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  52: profit_max=481.00, profit_avg=440.12, load_min=751.76, att_min=3236.60, quality_max=533.89, quality_avg=452.63, tasks_avg=81.69, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  53: profit_max=481.00, profit_avg=440.08, load_min=751.76, att_min=3236.60, quality_max=533.89, quality_avg=451.13, tasks_avg=81.64, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  54: profit_max=481.00, profit_avg=439.80, load_min=751.76, att_min=3236.60, quality_max=533.89, quality_avg=449.91, tasks_avg=81.61, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  55: profit_max=481.00, profit_avg=440.45, load_min=751.76, att_min=3236.60, quality_max=533.89, quality_avg=451.32, tasks_avg=81.74, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  56: profit_max=481.00, profit_avg=441.20, load_min=751.76, att_min=3236.60, quality_max=541.54, quality_avg=451.76, tasks_avg=81.79, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  57: profit_max=481.00, profit_avg=442.05, load_min=751.76, att_min=3370.33, quality_max=541.54, quality_avg=454.04, tasks_avg=81.94, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  58: profit_max=481.00, profit_avg=442.05, load_min=751.76, att_min=3370.33, quality_max=541.54, quality_avg=454.04, tasks_avg=81.94, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  59: profit_max=481.00, profit_avg=442.02, load_min=751.76, att_min=3370.33, quality_max=541.54, quality_avg=454.43, tasks_avg=81.91, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  60: profit_max=481.00, profit_avg=442.08, load_min=751.76, att_min=3370.33, quality_max=541.54, quality_avg=455.11, tasks_avg=81.93, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  61: profit_max=481.00, profit_avg=441.55, load_min=751.76, att_min=3370.33, quality_max=541.54, quality_avg=454.45, tasks_avg=81.83, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  62: profit_max=481.00, profit_avg=441.56, load_min=751.76, att_min=3370.33, quality_max=541.54, quality_avg=454.10, tasks_avg=81.82, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  63: profit_max=474.00, profit_avg=441.30, load_min=751.76, att_min=3370.33, quality_max=541.54, quality_avg=453.90, tasks_avg=81.78, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  64: profit_max=474.00, profit_avg=441.30, load_min=751.76, att_min=3370.33, quality_max=541.54, quality_avg=453.90, tasks_avg=81.78, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  65: profit_max=474.00, profit_avg=441.07, load_min=751.76, att_min=3370.33, quality_max=541.54, quality_avg=455.41, tasks_avg=81.73, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  66: profit_max=474.00, profit_avg=440.95, load_min=635.76, att_min=3099.93, quality_max=541.54, quality_avg=456.20, tasks_avg=81.71, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  67: profit_max=475.00, profit_avg=441.06, load_min=635.76, att_min=3099.93, quality_max=541.54, quality_avg=455.81, tasks_avg=81.76, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  68: profit_max=475.00, profit_avg=441.09, load_min=635.76, att_min=3099.93, quality_max=541.54, quality_avg=454.21, tasks_avg=81.73, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  69: profit_max=475.00, profit_avg=441.33, load_min=445.36, att_min=3099.93, quality_max=555.80, quality_avg=454.63, tasks_avg=81.77, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  70: profit_max=475.00, profit_avg=441.27, load_min=445.36, att_min=3099.93, quality_max=555.80, quality_avg=454.86, tasks_avg=81.77, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  71: profit_max=475.00, profit_avg=440.85, load_min=635.76, att_min=3099.93, quality_max=541.54, quality_avg=453.59, tasks_avg=81.68, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  72: profit_max=475.00, profit_avg=440.54, load_min=635.76, att_min=3099.93, quality_max=541.54, quality_avg=453.43, tasks_avg=81.63, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  73: profit_max=475.00, profit_avg=440.54, load_min=635.76, att_min=3099.93, quality_max=541.54, quality_avg=453.43, tasks_avg=81.63, HV=0.0000, feasible ratio=0.00, Nsub=21
Gen  74: profit_max=485.00, profit_avg=441.13, load_min=635.76, att_min=3099.93, quality_max=548.63, quality_avg=452.21, tasks_avg=81.74, HV=0.0000, feasible ratio=0.00, Nsub=21
