ÂºÄÂßã s5_t100 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-24T22:41:23
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.8215, feasible ratio=0.75
Gen   1: profit_max=   56.00, profit_avg=   20.28, load_min=      0.00, att_min=      0.00, quality_max=     70.51, quality_avg=     23.51, tasks_avg=  3.80, HV=0.4686, feasible ratio=1.00
Gen   2: profit_max=   89.00, profit_avg=   34.86, load_min=      0.00, att_min=      0.00, quality_max=     95.55, quality_avg=     40.64, tasks_avg=  6.57, HV=0.5814, feasible ratio=1.00
Gen   3: profit_max=  110.00, profit_avg=   49.83, load_min=      0.00, att_min=      0.00, quality_max=    125.76, quality_avg=     55.99, tasks_avg=  9.37, HV=0.6019, feasible ratio=1.00
Gen   4: profit_max=  130.00, profit_avg=   57.54, load_min=      0.00, att_min=      0.00, quality_max=    132.94, quality_avg=     63.92, tasks_avg= 10.75, HV=0.5556, feasible ratio=1.00
Gen   5: profit_max=  144.00, profit_avg=   64.56, load_min=      0.00, att_min=      0.00, quality_max=    154.71, quality_avg=     71.57, tasks_avg= 11.84, HV=0.4841, feasible ratio=1.00
Gen   6: profit_max=  160.00, profit_avg=   69.26, load_min=      0.00, att_min=      0.00, quality_max=    156.00, quality_avg=     77.16, tasks_avg= 12.62, HV=0.5010, feasible ratio=1.00
Gen   7: profit_max=  176.00, profit_avg=   74.10, load_min=      0.00, att_min=      0.00, quality_max=    158.32, quality_avg=     81.93, tasks_avg= 13.40, HV=0.4581, feasible ratio=1.00
Gen   8: profit_max=  176.00, profit_avg=   79.39, load_min=      0.00, att_min=      0.00, quality_max=    189.86, quality_avg=     86.58, tasks_avg= 14.30, HV=0.4152, feasible ratio=1.00
Gen   9: profit_max=  176.00, profit_avg=   81.99, load_min=      0.00, att_min=      0.00, quality_max=    208.33, quality_avg=     89.65, tasks_avg= 14.78, HV=0.5029, feasible ratio=1.00
Gen  10: profit_max=  199.00, profit_avg=   84.39, load_min=      0.00, att_min=      0.00, quality_max=    231.06, quality_avg=     92.41, tasks_avg= 15.20, HV=0.4234, feasible ratio=1.00
Gen  11: profit_max=  199.00, profit_avg=   85.97, load_min=      0.00, att_min=      0.00, quality_max=    231.06, quality_avg=     94.59, tasks_avg= 15.56, HV=0.4380, feasible ratio=1.00
Gen  12: profit_max=  199.00, profit_avg=   90.44, load_min=      0.00, att_min=      0.00, quality_max=    231.06, quality_avg=     98.65, tasks_avg= 16.43, HV=0.4509, feasible ratio=1.00
Gen  13: profit_max=  203.00, profit_avg=   95.18, load_min=      0.00, att_min=      0.00, quality_max=    231.06, quality_avg=    104.40, tasks_avg= 17.27, HV=0.4859, feasible ratio=1.00
Gen  14: profit_max=  203.00, profit_avg=   97.87, load_min=      0.00, att_min=      0.00, quality_max=    231.06, quality_avg=    107.17, tasks_avg= 17.76, HV=0.5150, feasible ratio=1.00
Gen  15: profit_max=  213.00, profit_avg=   99.27, load_min=      0.00, att_min=      0.00, quality_max=    241.11, quality_avg=    108.80, tasks_avg= 18.01, HV=0.4812, feasible ratio=1.00
Gen  16: profit_max=  215.00, profit_avg=   98.70, load_min=      0.00, att_min=      0.00, quality_max=    241.11, quality_avg=    107.76, tasks_avg= 17.83, HV=0.4810, feasible ratio=1.00
Gen  17: profit_max=  216.00, profit_avg=  100.89, load_min=      0.00, att_min=      0.00, quality_max=    252.72, quality_avg=    110.33, tasks_avg= 18.31, HV=0.4677, feasible ratio=1.00
Gen  18: profit_max=  216.00, profit_avg=  103.55, load_min=      0.00, att_min=      0.00, quality_max=    252.72, quality_avg=    112.74, tasks_avg= 18.73, HV=0.4677, feasible ratio=1.00
Gen  19: profit_max=  235.00, profit_avg=  106.85, load_min=      0.00, att_min=      0.00, quality_max=    260.12, quality_avg=    116.29, tasks_avg= 19.32, HV=0.4516, feasible ratio=1.00
Gen  20: profit_max=  235.00, profit_avg=  107.90, load_min=      0.00, att_min=      0.00, quality_max=    260.12, quality_avg=    117.33, tasks_avg= 19.48, HV=0.4568, feasible ratio=1.00
Gen  21: profit_max=  235.00, profit_avg=  108.91, load_min=      0.00, att_min=      0.00, quality_max=    260.12, quality_avg=    118.11, tasks_avg= 19.65, HV=0.4596, feasible ratio=1.00
Gen  22: profit_max=  235.00, profit_avg=  110.01, load_min=      0.00, att_min=      0.00, quality_max=    260.12, quality_avg=    120.00, tasks_avg= 19.84, HV=0.4672, feasible ratio=1.00
Gen  23: profit_max=  235.00, profit_avg=  111.39, load_min=      0.00, att_min=      0.00, quality_max=    260.12, quality_avg=    120.99, tasks_avg= 20.06, HV=0.4684, feasible ratio=1.00
Gen  24: profit_max=  235.00, profit_avg=  112.05, load_min=      0.00, att_min=      0.00, quality_max=    260.12, quality_avg=    121.68, tasks_avg= 20.11, HV=0.4724, feasible ratio=1.00
Gen  25: profit_max=  235.00, profit_avg=  110.07, load_min=      0.00, att_min=      0.00, quality_max=    261.25, quality_avg=    119.51, tasks_avg= 19.56, HV=0.4885, feasible ratio=1.00
Gen  26: profit_max=  235.00, profit_avg=  111.25, load_min=      0.00, att_min=      0.00, quality_max=    261.25, quality_avg=    121.51, tasks_avg= 19.86, HV=0.4885, feasible ratio=1.00
Gen  27: profit_max=  251.00, profit_avg=  115.18, load_min=      0.00, att_min=      0.00, quality_max=    283.88, quality_avg=    125.23, tasks_avg= 20.41, HV=0.4303, feasible ratio=1.00
Gen  28: profit_max=  251.00, profit_avg=  115.14, load_min=      0.00, att_min=      0.00, quality_max=    283.88, quality_avg=    125.55, tasks_avg= 20.46, HV=0.4302, feasible ratio=1.00
Gen  29: profit_max=  251.00, profit_avg=  115.80, load_min=      0.00, att_min=      0.00, quality_max=    283.88, quality_avg=    126.78, tasks_avg= 20.63, HV=0.4301, feasible ratio=1.00
Gen  30: profit_max=  251.00, profit_avg=  117.25, load_min=      0.00, att_min=      0.00, quality_max=    283.88, quality_avg=    127.27, tasks_avg= 20.85, HV=0.4369, feasible ratio=1.00
Gen  31: profit_max=  251.00, profit_avg=  115.07, load_min=      0.00, att_min=      0.00, quality_max=    283.88, quality_avg=    124.95, tasks_avg= 20.28, HV=0.4464, feasible ratio=1.00
Gen  32: profit_max=  251.00, profit_avg=  115.88, load_min=      0.00, att_min=      0.00, quality_max=    283.88, quality_avg=    125.70, tasks_avg= 20.42, HV=0.4467, feasible ratio=1.00
Gen  33: profit_max=  251.00, profit_avg=  117.74, load_min=      0.00, att_min=      0.00, quality_max=    283.88, quality_avg=    127.85, tasks_avg= 20.78, HV=0.5100, feasible ratio=1.00
Gen  34: profit_max=  256.00, profit_avg=  119.77, load_min=      0.00, att_min=      0.00, quality_max=    310.93, quality_avg=    129.51, tasks_avg= 21.16, HV=0.4668, feasible ratio=1.00
Gen  35: profit_max=  256.00, profit_avg=  121.68, load_min=      0.00, att_min=      0.00, quality_max=    310.93, quality_avg=    131.40, tasks_avg= 21.46, HV=0.4674, feasible ratio=1.00
Gen  36: profit_max=  256.00, profit_avg=  121.80, load_min=      0.00, att_min=      0.00, quality_max=    310.93, quality_avg=    131.12, tasks_avg= 21.47, HV=0.4666, feasible ratio=1.00
Gen  37: profit_max=  256.00, profit_avg=  123.43, load_min=      0.00, att_min=      0.00, quality_max=    310.93, quality_avg=    132.15, tasks_avg= 21.69, HV=0.4650, feasible ratio=1.00
Gen  38: profit_max=  256.00, profit_avg=  124.70, load_min=      0.00, att_min=      0.00, quality_max=    310.93, quality_avg=    133.82, tasks_avg= 21.88, HV=0.4668, feasible ratio=1.00
Gen  39: profit_max=  275.00, profit_avg=  124.55, load_min=      0.00, att_min=      0.00, quality_max=    310.93, quality_avg=    133.59, tasks_avg= 21.80, HV=0.4476, feasible ratio=1.00
