开始 s5_t100 / mode_sdas_adaptive_subspace，时间：2026-05-25T01:27:01
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Adaptive Subspace

========== MODE-SDAS + Adaptive Subspace Run 1/8 ==========
Init: HV=0.2939, feasible ratio=0.82, Nsub=21
Gen  32: profit_max=246.00, profit_avg=111.64, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=120.27, tasks_avg=19.61, HV=0.4221, feasible ratio=1.00, Nsub=12
Gen  33: profit_max=246.00, profit_avg=111.59, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=121.15, tasks_avg=19.66, HV=0.4198, feasible ratio=1.00, Nsub=12
Gen  34: profit_max=246.00, profit_avg=114.81, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=123.57, tasks_avg=20.18, HV=0.4197, feasible ratio=1.00, Nsub=12
Gen  35: profit_max=246.00, profit_avg=113.56, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=122.28, tasks_avg=19.95, HV=0.4193, feasible ratio=1.00, Nsub=12
Gen  36: profit_max=246.00, profit_avg=111.65, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=120.59, tasks_avg=19.66, HV=0.4225, feasible ratio=1.00, Nsub=12
Gen  37: profit_max=246.00, profit_avg=111.21, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=119.72, tasks_avg=19.53, HV=0.4254, feasible ratio=1.00, Nsub=12
Gen  38: profit_max=246.00, profit_avg=114.41, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=123.29, tasks_avg=20.10, HV=0.4249, feasible ratio=1.00, Nsub=12
Gen  39: profit_max=246.00, profit_avg=112.11, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=121.17, tasks_avg=19.73, HV=0.4244, feasible ratio=1.00, Nsub=12
Gen  40: profit_max=246.00, profit_avg=113.45, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=123.32, tasks_avg=20.03, HV=0.4304, feasible ratio=1.00, Nsub=12
Gen  41: profit_max=246.00, profit_avg=113.65, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=122.83, tasks_avg=20.04, HV=0.4249, feasible ratio=1.00, Nsub=12
Gen  42: profit_max=246.00, profit_avg=114.83, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=123.57, tasks_avg=20.20, HV=0.4246, feasible ratio=1.00, Nsub=12
Gen  43: profit_max=246.00, profit_avg=117.77, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=126.62, tasks_avg=20.70, HV=0.4239, feasible ratio=1.00, Nsub=12
Gen  44: profit_max=246.00, profit_avg=117.68, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=126.65, tasks_avg=20.67, HV=0.4240, feasible ratio=1.00, Nsub=12
Gen  45: profit_max=246.00, profit_avg=117.08, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=126.48, tasks_avg=20.62, HV=0.4243, feasible ratio=1.00, Nsub=12
Gen  46: profit_max=246.00, profit_avg=117.90, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=128.30, tasks_avg=20.72, HV=0.4302, feasible ratio=1.00, Nsub=12
Gen  47: profit_max=246.00, profit_avg=116.97, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=126.12, tasks_avg=20.50, HV=0.4295, feasible ratio=1.00, Nsub=12
Gen  48: profit_max=246.00, profit_avg=114.38, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=124.42, tasks_avg=20.11, HV=0.4246, feasible ratio=1.00, Nsub=12
Gen  49: profit_max=246.00, profit_avg=115.47, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=125.90, tasks_avg=20.28, HV=0.4245, feasible ratio=1.00, Nsub=12
Gen  50: profit_max=246.00, profit_avg=117.15, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=128.11, tasks_avg=20.60, HV=0.4261, feasible ratio=1.00, Nsub=12
Gen  51: profit_max=246.00, profit_avg=117.25, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=128.30, tasks_avg=20.57, HV=0.4266, feasible ratio=1.00, Nsub=12
Gen  52: profit_max=246.00, profit_avg=118.55, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=130.24, tasks_avg=20.80, HV=0.4268, feasible ratio=1.00, Nsub=12
Gen  53: profit_max=246.00, profit_avg=117.25, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=129.22, tasks_avg=20.63, HV=0.4279, feasible ratio=1.00, Nsub=12
Gen  54: profit_max=246.00, profit_avg=114.95, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=125.72, tasks_avg=20.21, HV=0.4229, feasible ratio=1.00, Nsub=12
Gen  55: profit_max=246.00, profit_avg=117.36, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=127.97, tasks_avg=20.55, HV=0.4308, feasible ratio=1.00, Nsub=12
Gen  56: profit_max=246.00, profit_avg=116.62, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=127.02, tasks_avg=20.42, HV=0.4334, feasible ratio=1.00, Nsub=12
Gen  57: profit_max=246.00, profit_avg=118.08, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=128.77, tasks_avg=20.77, HV=0.4341, feasible ratio=1.00, Nsub=12
Gen  58: profit_max=246.00, profit_avg=116.53, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=126.91, tasks_avg=20.53, HV=0.4339, feasible ratio=1.00, Nsub=12
Gen  59: profit_max=246.00, profit_avg=116.11, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=126.47, tasks_avg=20.43, HV=0.4345, feasible ratio=1.00, Nsub=12
Gen  60: profit_max=246.00, profit_avg=116.32, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=126.81, tasks_avg=20.42, HV=0.4340, feasible ratio=1.00, Nsub=12
Gen  61: profit_max=246.00, profit_avg=118.93, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=129.23, tasks_avg=20.85, HV=0.4364, feasible ratio=1.00, Nsub=12
Gen  62: profit_max=246.00, profit_avg=118.26, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=129.06, tasks_avg=20.73, HV=0.4336, feasible ratio=1.00, Nsub=12
Gen  63: profit_max=246.00, profit_avg=122.64, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=133.11, tasks_avg=21.49, HV=0.4324, feasible ratio=1.00, Nsub=12
Gen  64: profit_max=246.00, profit_avg=121.34, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=134.34, tasks_avg=21.30, HV=0.4370, feasible ratio=1.00, Nsub=12
Gen  65: profit_max=246.00, profit_avg=121.31, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=134.33, tasks_avg=21.31, HV=0.4370, feasible ratio=1.00, Nsub=12
Gen  66: profit_max=246.00, profit_avg=123.40, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=136.54, tasks_avg=21.71, HV=0.4362, feasible ratio=1.00, Nsub=12
Gen  67: profit_max=246.00, profit_avg=124.02, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=136.86, tasks_avg=21.76, HV=0.4380, feasible ratio=1.00, Nsub=12
Gen  68: profit_max=246.00, profit_avg=121.85, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=134.90, tasks_avg=21.40, HV=0.4371, feasible ratio=1.00, Nsub=12
Gen  69: profit_max=246.00, profit_avg=122.22, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=134.98, tasks_avg=21.42, HV=0.4397, feasible ratio=1.00, Nsub=12
Gen  70: profit_max=246.00, profit_avg=119.49, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=132.49, tasks_avg=20.97, HV=0.4390, feasible ratio=1.00, Nsub=12
Gen  71: profit_max=246.00, profit_avg=120.38, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=133.50, tasks_avg=21.14, HV=0.4400, feasible ratio=1.00, Nsub=12
Gen  72: profit_max=246.00, profit_avg=120.70, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=133.71, tasks_avg=21.17, HV=0.4400, feasible ratio=1.00, Nsub=12
Gen  73: profit_max=246.00, profit_avg=121.86, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=134.78, tasks_avg=21.36, HV=0.4399, feasible ratio=1.00, Nsub=12
Gen  74: profit_max=246.00, profit_avg=120.37, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=133.15, tasks_avg=21.12, HV=0.4397, feasible ratio=1.00, Nsub=12
Gen  75: profit_max=246.00, profit_avg=121.44, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=134.04, tasks_avg=21.28, HV=0.4393, feasible ratio=1.00, Nsub=12
Gen  76: profit_max=246.00, profit_avg=118.67, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=131.77, tasks_avg=20.81, HV=0.4362, feasible ratio=1.00, Nsub=12
Gen  77: profit_max=252.00, profit_avg=121.01, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=133.56, tasks_avg=21.21, HV=0.4526, feasible ratio=1.00, Nsub=12
Gen  78: profit_max=252.00, profit_avg=128.01, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=139.81, tasks_avg=22.44, HV=0.4537, feasible ratio=1.00, Nsub=12
Gen  79: profit_max=252.00, profit_avg=131.94, load_min=0.00, att_min=0.00, quality_max=278.99, quality_avg=145.52, tasks_avg=23.14, HV=0.4561, feasible ratio=1.00, Nsub=12
Gen  80: profit_max=252.00, profit_avg=133.04, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=146.64, tasks_avg=23.30, HV=0.4637, feasible ratio=1.00, Nsub=12
Gen  81: profit_max=252.00, profit_avg=133.89, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=149.15, tasks_avg=23.50, HV=0.4703, feasible ratio=1.00, Nsub=12
Gen  82: profit_max=252.00, profit_avg=130.89, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=145.83, tasks_avg=23.03, HV=0.4690, feasible ratio=1.00, Nsub=12
Gen  83: profit_max=252.00, profit_avg=130.37, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=144.35, tasks_avg=23.00, HV=0.4704, feasible ratio=1.00, Nsub=12
Gen  84: profit_max=252.00, profit_avg=131.08, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=144.80, tasks_avg=23.02, HV=0.4697, feasible ratio=1.00, Nsub=12
Gen  85: profit_max=252.00, profit_avg=127.47, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=141.30, tasks_avg=22.47, HV=0.4669, feasible ratio=1.00, Nsub=12
Gen  86: profit_max=252.00, profit_avg=126.08, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=139.43, tasks_avg=22.16, HV=0.4741, feasible ratio=1.00, Nsub=12
Gen  87: profit_max=252.00, profit_avg=127.99, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=141.27, tasks_avg=22.48, HV=0.4854, feasible ratio=1.00, Nsub=12
Gen  88: profit_max=252.00, profit_avg=127.77, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=141.17, tasks_avg=22.47, HV=0.4849, feasible ratio=1.00, Nsub=12
Gen  89: profit_max=260.00, profit_avg=128.87, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=143.52, tasks_avg=22.67, HV=0.4722, feasible ratio=1.00, Nsub=12
Gen  90: profit_max=260.00, profit_avg=131.67, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=148.20, tasks_avg=23.15, HV=0.4747, feasible ratio=1.00, Nsub=12
Gen  91: profit_max=260.00, profit_avg=129.19, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=143.24, tasks_avg=22.73, HV=0.4671, feasible ratio=1.00, Nsub=12
Gen  92: profit_max=260.00, profit_avg=130.15, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=145.08, tasks_avg=22.93, HV=0.4706, feasible ratio=1.00, Nsub=12
Gen  93: profit_max=260.00, profit_avg=131.07, load_min=0.00, att_min=0.00, quality_max=285.73, quality_avg=144.96, tasks_avg=22.94, HV=0.4785, feasible ratio=1.00, Nsub=12
Gen  94: profit_max=277.00, profit_avg=128.11, load_min=0.00, att_min=0.00, quality_max=286.93, quality_avg=141.18, tasks_avg=22.39, HV=0.4694, feasible ratio=1.00, Nsub=12
Gen  95: profit_max=277.00, profit_avg=131.95, load_min=0.00, att_min=0.00, quality_max=286.93, quality_avg=144.28, tasks_avg=22.97, HV=0.4701, feasible ratio=1.00, Nsub=12
Gen  96: profit_max=277.00, profit_avg=134.49, load_min=0.00, att_min=0.00, quality_max=286.93, quality_avg=147.10, tasks_avg=23.36, HV=0.4718, feasible ratio=1.00, Nsub=12
Gen  97: profit_max=277.00, profit_avg=134.50, load_min=0.00, att_min=0.00, quality_max=286.93, quality_avg=145.42, tasks_avg=23.30, HV=0.4724, feasible ratio=1.00, Nsub=12
Gen  98: profit_max=277.00, profit_avg=135.00, load_min=0.00, att_min=0.00, quality_max=286.93, quality_avg=145.29, tasks_avg=23.41, HV=0.4722, feasible ratio=1.00, Nsub=12
Gen  99: profit_max=277.00, profit_avg=136.81, load_min=0.00, att_min=0.00, quality_max=286.93, quality_avg=146.20, tasks_avg=23.72, HV=0.4741, feasible ratio=1.00, Nsub=12
Gen 100: profit_max=277.00, profit_avg=137.85, load_min=0.00, att_min=0.00, quality_max=302.87, quality_avg=147.48, tasks_avg=23.81, HV=0.4636, feasible ratio=1.00, Nsub=12
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=277.0, load=0.00, att=0.00, quality=302.87

========== MODE-SDAS + Adaptive Subspace Run 2/8 ==========
Init: HV=0.4625, feasible ratio=0.74, Nsub=21
Gen   1: profit_max=66.00, profit_avg=27.77, load_min=0.00, att_min=0.00, quality_max=77.50, quality_avg=32.77, tasks_avg=5.21, HV=0.5390, feasible ratio=1.00, Nsub=21
Gen   2: profit_max=120.00, profit_avg=47.89, load_min=0.00, att_min=0.00, quality_max=146.19, quality_avg=57.22, tasks_avg=9.32, HV=0.4668, feasible ratio=1.00, Nsub=21
Gen   3: profit_max=150.00, profit_avg=59.05, load_min=0.00, att_min=0.00, quality_max=161.89, quality_avg=69.48, tasks_avg=11.44, HV=0.4244, feasible ratio=1.00, Nsub=21
Gen   4: profit_max=204.00, profit_avg=71.05, load_min=0.00, att_min=0.00, quality_max=204.94, quality_avg=80.51, tasks_avg=13.48, HV=0.4811, feasible ratio=1.00, Nsub=21
Gen   5: profit_max=204.00, profit_avg=75.09, load_min=0.00, att_min=0.00, quality_max=204.94, quality_avg=86.66, tasks_avg=14.35, HV=0.5607, feasible ratio=1.00, Nsub=21
Gen   6: profit_max=206.00, profit_avg=80.76, load_min=0.00, att_min=0.00, quality_max=229.42, quality_avg=91.94, tasks_avg=15.36, HV=0.5240, feasible ratio=1.00, Nsub=21
Gen   7: profit_max=206.00, profit_avg=84.84, load_min=0.00, att_min=0.00, quality_max=229.42, quality_avg=96.51, tasks_avg=16.05, HV=0.5294, feasible ratio=1.00, Nsub=21
Gen   8: profit_max=215.00, profit_avg=89.58, load_min=0.00, att_min=0.00, quality_max=248.82, quality_avg=101.37, tasks_avg=16.90, HV=0.4837, feasible ratio=1.00, Nsub=21
Gen   9: profit_max=218.00, profit_avg=93.50, load_min=0.00, att_min=0.00, quality_max=259.18, quality_avg=105.62, tasks_avg=17.48, HV=0.4614, feasible ratio=1.00, Nsub=21
Gen  10: profit_max=218.00, profit_avg=97.04, load_min=0.00, att_min=0.00, quality_max=259.18, quality_avg=110.82, tasks_avg=18.16, HV=0.4710, feasible ratio=1.00, Nsub=21
Gen  11: profit_max=218.00, profit_avg=102.60, load_min=0.00, att_min=0.00, quality_max=259.18, quality_avg=116.72, tasks_avg=19.19, HV=0.4856, feasible ratio=1.00, Nsub=21
Gen  12: profit_max=232.00, profit_avg=106.97, load_min=0.00, att_min=0.00, quality_max=276.03, quality_avg=122.56, tasks_avg=20.07, HV=0.4724, feasible ratio=1.00, Nsub=21
Gen  13: profit_max=245.00, profit_avg=112.64, load_min=0.00, att_min=0.00, quality_max=276.03, quality_avg=128.56, tasks_avg=21.11, HV=0.4581, feasible ratio=1.00, Nsub=21
Gen  14: profit_max=245.00, profit_avg=113.80, load_min=0.00, att_min=0.00, quality_max=276.03, quality_avg=129.25, tasks_avg=21.30, HV=0.4590, feasible ratio=1.00, Nsub=21
Gen  15: profit_max=254.00, profit_avg=117.92, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=133.24, tasks_avg=22.04, HV=0.4672, feasible ratio=1.00, Nsub=21
Gen  16: profit_max=254.00, profit_avg=117.88, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=133.27, tasks_avg=22.05, HV=0.4674, feasible ratio=1.00, Nsub=21
Gen  17: profit_max=254.00, profit_avg=118.54, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=134.70, tasks_avg=22.24, HV=0.4668, feasible ratio=1.00, Nsub=21
Gen  18: profit_max=254.00, profit_avg=117.68, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=133.63, tasks_avg=22.07, HV=0.4714, feasible ratio=1.00, Nsub=21
Gen  19: profit_max=254.00, profit_avg=117.32, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=133.60, tasks_avg=22.03, HV=0.4715, feasible ratio=1.00, Nsub=21
Gen  20: profit_max=254.00, profit_avg=118.22, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=134.76, tasks_avg=22.22, HV=0.4707, feasible ratio=1.00, Nsub=21
Gen  21: profit_max=254.00, profit_avg=116.47, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=133.27, tasks_avg=21.93, HV=0.4682, feasible ratio=1.00, Nsub=21
Gen  22: profit_max=254.00, profit_avg=115.78, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=132.35, tasks_avg=21.75, HV=0.4681, feasible ratio=1.00, Nsub=21
Gen  23: profit_max=254.00, profit_avg=114.57, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=131.34, tasks_avg=21.57, HV=0.4662, feasible ratio=1.00, Nsub=21
Gen  24: profit_max=254.00, profit_avg=114.59, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=131.33, tasks_avg=21.57, HV=0.4648, feasible ratio=1.00, Nsub=21
Gen  25: profit_max=254.00, profit_avg=115.06, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=131.59, tasks_avg=21.63, HV=0.4654, feasible ratio=1.00, Nsub=21
Gen  26: profit_max=254.00, profit_avg=115.06, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=131.59, tasks_avg=21.63, HV=0.4654, feasible ratio=1.00, Nsub=13
Gen  27: profit_max=254.00, profit_avg=115.29, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=131.95, tasks_avg=21.67, HV=0.4654, feasible ratio=1.00, Nsub=13
Gen  28: profit_max=254.00, profit_avg=116.42, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=134.09, tasks_avg=21.98, HV=0.4645, feasible ratio=1.00, Nsub=13
Gen  29: profit_max=254.00, profit_avg=117.11, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=134.84, tasks_avg=22.05, HV=0.4640, feasible ratio=1.00, Nsub=13
Gen  30: profit_max=254.00, profit_avg=116.56, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=134.11, tasks_avg=21.97, HV=0.4636, feasible ratio=1.00, Nsub=13
Gen  31: profit_max=254.00, profit_avg=116.19, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=134.44, tasks_avg=22.07, HV=0.4621, feasible ratio=1.00, Nsub=13
Gen  32: profit_max=254.00, profit_avg=116.82, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=135.32, tasks_avg=22.15, HV=0.4653, feasible ratio=1.00, Nsub=13
Gen  33: profit_max=254.00, profit_avg=115.58, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=134.38, tasks_avg=21.92, HV=0.4644, feasible ratio=1.00, Nsub=13
Gen  34: profit_max=254.00, profit_avg=113.81, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=132.58, tasks_avg=21.60, HV=0.4669, feasible ratio=1.00, Nsub=13
Gen  35: profit_max=254.00, profit_avg=113.79, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=132.05, tasks_avg=21.58, HV=0.4642, feasible ratio=1.00, Nsub=13
Gen  36: profit_max=254.00, profit_avg=113.41, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=132.04, tasks_avg=21.53, HV=0.4682, feasible ratio=1.00, Nsub=13
Gen  37: profit_max=254.00, profit_avg=114.14, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=132.37, tasks_avg=21.69, HV=0.4668, feasible ratio=1.00, Nsub=13
Gen  38: profit_max=254.00, profit_avg=115.14, load_min=0.00, att_min=0.00, quality_max=283.00, quality_avg=133.52, tasks_avg=21.90, HV=0.4851, feasible ratio=1.00, Nsub=13
