开始 s5_t100 / mode_sdas_dpic，时间：2026-05-27T10:47:56
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5327, feasible ratio=0.83
Gen  28: profit_max=291.00, profit_avg=137.61, load_min=0.00, att_min=0.00, quality_max=294.99, quality_avg=143.63, tasks_avg=23.76, HV=0.4271, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  29: profit_max=291.00, profit_avg=138.33, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=144.40, tasks_avg=23.82, HV=0.4140, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  30: profit_max=291.00, profit_avg=140.33, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=146.59, tasks_avg=24.22, HV=0.4164, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  31: profit_max=291.00, profit_avg=141.20, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=148.64, tasks_avg=24.36, HV=0.4193, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  32: profit_max=291.00, profit_avg=139.87, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=147.51, tasks_avg=24.16, HV=0.4189, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  33: profit_max=291.00, profit_avg=139.63, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=147.55, tasks_avg=24.15, HV=0.4177, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  34: profit_max=291.00, profit_avg=139.75, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=146.98, tasks_avg=24.09, HV=0.4176, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  35: profit_max=291.00, profit_avg=141.84, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=149.36, tasks_avg=24.48, HV=0.4210, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  36: profit_max=291.00, profit_avg=140.30, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=148.48, tasks_avg=24.29, HV=0.4247, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
Gen  37: profit_max=291.00, profit_avg=141.90, load_min=0.00, att_min=0.00, quality_max=320.56, quality_avg=149.73, tasks_avg=24.59, HV=0.4245, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=17
