开始 s5_t100 / mode_sdas_dpic_dual_archive，时间：2026-05-27T13:37:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.8995, feasible ratio=0.81
Gen  29: profit_max=266.00, profit_avg=130.09, load_min=0.00, att_min=0.00, quality_max=308.04, quality_avg=136.11, tasks_avg=22.42, HV=0.3938, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  30: profit_max=266.00, profit_avg=130.57, load_min=0.00, att_min=0.00, quality_max=308.04, quality_avg=136.60, tasks_avg=22.48, HV=0.3951, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  31: profit_max=266.00, profit_avg=133.26, load_min=0.00, att_min=0.00, quality_max=308.04, quality_avg=139.31, tasks_avg=22.95, HV=0.3966, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  32: profit_max=266.00, profit_avg=135.73, load_min=0.00, att_min=0.00, quality_max=308.04, quality_avg=143.50, tasks_avg=23.55, HV=0.3949, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  33: profit_max=266.00, profit_avg=136.50, load_min=0.00, att_min=0.00, quality_max=308.04, quality_avg=143.51, tasks_avg=23.61, HV=0.3984, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  34: profit_max=274.00, profit_avg=136.56, load_min=0.00, att_min=0.00, quality_max=308.04, quality_avg=143.73, tasks_avg=23.69, HV=0.4242, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  35: profit_max=274.00, profit_avg=137.59, load_min=0.00, att_min=0.00, quality_max=308.51, quality_avg=145.15, tasks_avg=23.83, HV=0.4253, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  36: profit_max=274.00, profit_avg=139.00, load_min=0.00, att_min=0.00, quality_max=308.51, quality_avg=147.12, tasks_avg=24.00, HV=0.4275, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  37: profit_max=274.00, profit_avg=140.27, load_min=0.00, att_min=0.00, quality_max=308.51, quality_avg=148.36, tasks_avg=24.20, HV=0.4281, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  38: profit_max=274.00, profit_avg=140.27, load_min=0.00, att_min=0.00, quality_max=308.51, quality_avg=148.52, tasks_avg=24.21, HV=0.4295, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  39: profit_max=275.00, profit_avg=138.68, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=147.19, tasks_avg=23.92, HV=0.4465, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  40: profit_max=275.00, profit_avg=137.93, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=146.49, tasks_avg=23.84, HV=0.4474, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  41: profit_max=275.00, profit_avg=137.91, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=146.58, tasks_avg=23.82, HV=0.4474, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  42: profit_max=275.00, profit_avg=138.72, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=147.61, tasks_avg=24.03, HV=0.4453, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  43: profit_max=275.00, profit_avg=139.32, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=147.98, tasks_avg=24.11, HV=0.4453, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  44: profit_max=275.00, profit_avg=138.83, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=148.02, tasks_avg=24.01, HV=0.4457, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  45: profit_max=275.00, profit_avg=139.63, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=149.28, tasks_avg=24.13, HV=0.4489, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  46: profit_max=275.00, profit_avg=139.53, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=150.13, tasks_avg=24.17, HV=0.4450, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  47: profit_max=275.00, profit_avg=139.13, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=150.14, tasks_avg=24.13, HV=0.4455, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  48: profit_max=275.00, profit_avg=140.67, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=151.12, tasks_avg=24.35, HV=0.4463, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  49: profit_max=275.00, profit_avg=143.75, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=153.34, tasks_avg=24.71, HV=0.4515, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  50: profit_max=286.00, profit_avg=146.23, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=155.95, tasks_avg=25.12, HV=0.4372, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  51: profit_max=286.00, profit_avg=146.18, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=156.20, tasks_avg=25.14, HV=0.4434, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  52: profit_max=298.00, profit_avg=149.64, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=159.59, tasks_avg=25.78, HV=0.4256, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  53: profit_max=298.00, profit_avg=150.18, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=160.47, tasks_avg=25.86, HV=0.4272, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  54: profit_max=298.00, profit_avg=147.71, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=156.97, tasks_avg=25.38, HV=0.4366, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  55: profit_max=298.00, profit_avg=148.17, load_min=0.00, att_min=0.00, quality_max=329.27, quality_avg=157.20, tasks_avg=25.46, HV=0.4370, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  56: profit_max=347.00, profit_avg=149.11, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=157.32, tasks_avg=25.51, HV=0.3585, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  57: profit_max=347.00, profit_avg=148.48, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=156.45, tasks_avg=25.41, HV=0.3509, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  58: profit_max=347.00, profit_avg=147.65, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=155.42, tasks_avg=25.31, HV=0.3510, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  59: profit_max=347.00, profit_avg=148.36, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=157.25, tasks_avg=25.45, HV=0.3509, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  60: profit_max=347.00, profit_avg=148.92, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=158.74, tasks_avg=25.62, HV=0.3525, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  61: profit_max=347.00, profit_avg=149.97, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=160.45, tasks_avg=25.85, HV=0.3581, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  62: profit_max=347.00, profit_avg=151.66, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=161.73, tasks_avg=26.14, HV=0.3574, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  63: profit_max=347.00, profit_avg=151.76, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=160.59, tasks_avg=26.05, HV=0.3554, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  64: profit_max=347.00, profit_avg=151.74, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=160.54, tasks_avg=26.04, HV=0.3557, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  65: profit_max=347.00, profit_avg=151.66, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=160.59, tasks_avg=25.99, HV=0.3589, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  66: profit_max=347.00, profit_avg=151.58, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=160.53, tasks_avg=25.98, HV=0.3591, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  67: profit_max=347.00, profit_avg=151.46, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=160.51, tasks_avg=25.97, HV=0.3591, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  68: profit_max=347.00, profit_avg=155.11, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=164.27, tasks_avg=26.67, HV=0.3691, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  69: profit_max=347.00, profit_avg=154.90, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=164.22, tasks_avg=26.63, HV=0.3709, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  70: profit_max=347.00, profit_avg=154.06, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=163.51, tasks_avg=26.48, HV=0.3704, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  71: profit_max=348.00, profit_avg=156.80, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=166.11, tasks_avg=26.94, HV=0.3985, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  72: profit_max=348.00, profit_avg=156.63, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=166.07, tasks_avg=26.97, HV=0.3993, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  73: profit_max=348.00, profit_avg=159.22, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=168.04, tasks_avg=27.36, HV=0.4009, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  74: profit_max=348.00, profit_avg=160.99, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=170.15, tasks_avg=27.72, HV=0.3983, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  75: profit_max=348.00, profit_avg=161.06, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=170.39, tasks_avg=27.76, HV=0.3995, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  76: profit_max=348.00, profit_avg=161.48, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=170.52, tasks_avg=27.83, HV=0.4008, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  77: profit_max=348.00, profit_avg=162.42, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=171.65, tasks_avg=27.95, HV=0.3998, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  78: profit_max=348.00, profit_avg=162.32, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=171.16, tasks_avg=27.91, HV=0.4040, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  79: profit_max=348.00, profit_avg=161.24, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=169.89, tasks_avg=27.72, HV=0.4019, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  80: profit_max=348.00, profit_avg=162.24, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=171.26, tasks_avg=27.91, HV=0.4027, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  81: profit_max=348.00, profit_avg=162.38, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=171.65, tasks_avg=27.96, HV=0.4032, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  82: profit_max=348.00, profit_avg=162.38, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=171.65, tasks_avg=27.96, HV=0.4032, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  83: profit_max=348.00, profit_avg=161.82, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=170.69, tasks_avg=27.82, HV=0.4029, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  84: profit_max=348.00, profit_avg=160.40, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=169.03, tasks_avg=27.56, HV=0.4016, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  85: profit_max=348.00, profit_avg=160.26, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=168.86, tasks_avg=27.50, HV=0.4024, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  86: profit_max=348.00, profit_avg=160.01, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=168.57, tasks_avg=27.45, HV=0.4024, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  87: profit_max=348.00, profit_avg=161.25, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=169.74, tasks_avg=27.67, HV=0.4028, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  88: profit_max=348.00, profit_avg=162.15, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=170.90, tasks_avg=27.86, HV=0.4028, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  89: profit_max=348.00, profit_avg=164.92, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=174.57, tasks_avg=28.40, HV=0.4065, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  90: profit_max=348.00, profit_avg=165.39, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=174.81, tasks_avg=28.46, HV=0.4065, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  91: profit_max=348.00, profit_avg=164.60, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=173.77, tasks_avg=28.35, HV=0.4069, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  92: profit_max=348.00, profit_avg=165.04, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=174.95, tasks_avg=28.48, HV=0.4052, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  93: profit_max=348.00, profit_avg=165.06, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=174.09, tasks_avg=28.45, HV=0.4194, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  94: profit_max=348.00, profit_avg=165.06, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=174.09, tasks_avg=28.45, HV=0.4194, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  95: profit_max=348.00, profit_avg=165.06, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=174.09, tasks_avg=28.45, HV=0.4194, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  96: profit_max=348.00, profit_avg=164.66, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=173.06, tasks_avg=28.29, HV=0.4197, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  97: profit_max=348.00, profit_avg=164.66, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=173.06, tasks_avg=28.29, HV=0.4197, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  98: profit_max=348.00, profit_avg=163.70, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=172.19, tasks_avg=28.16, HV=0.4169, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen  99: profit_max=348.00, profit_avg=164.22, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=173.45, tasks_avg=28.27, HV=0.4174, feasible ratio=1.00, fea_archive=200, inf_archive=19
Gen 100: profit_max=348.00, profit_avg=165.49, load_min=0.00, att_min=0.00, quality_max=349.18, quality_avg=174.35, tasks_avg=28.47, HV=0.4168, feasible ratio=1.00, fea_archive=200, inf_archive=19
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=348.0, load=0.00, att=0.00, quality=349.18

========== MODE-SDAS + DPIC + Dual Archive Run 2/8 ==========
Init: HV=0.5061, feasible ratio=0.76
Gen   1: profit_max=75.00, profit_avg=23.50, load_min=0.00, att_min=0.00, quality_max=78.03, quality_avg=25.89, tasks_avg=4.22, HV=0.4440, feasible ratio=1.00, fea_archive=176, inf_archive=24
Gen   2: profit_max=86.00, profit_avg=34.99, load_min=0.00, att_min=0.00, quality_max=113.23, quality_avg=38.99, tasks_avg=6.27, HV=0.4839, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen   3: profit_max=122.00, profit_avg=47.97, load_min=0.00, att_min=0.00, quality_max=136.74, quality_avg=52.97, tasks_avg=8.64, HV=0.4032, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen   4: profit_max=122.00, profit_avg=52.54, load_min=0.00, att_min=0.00, quality_max=147.09, quality_avg=58.47, tasks_avg=9.47, HV=0.4224, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen   5: profit_max=122.00, profit_avg=58.37, load_min=0.00, att_min=0.00, quality_max=148.47, quality_avg=65.50, tasks_avg=10.48, HV=0.5625, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen   6: profit_max=148.00, profit_avg=60.66, load_min=0.00, att_min=0.00, quality_max=161.28, quality_avg=66.12, tasks_avg=10.74, HV=0.4439, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen   7: profit_max=148.00, profit_avg=61.95, load_min=0.00, att_min=0.00, quality_max=168.93, quality_avg=68.16, tasks_avg=10.91, HV=0.5193, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen   8: profit_max=148.00, profit_avg=65.02, load_min=0.00, att_min=0.00, quality_max=168.93, quality_avg=70.55, tasks_avg=11.33, HV=0.5280, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen   9: profit_max=170.00, profit_avg=71.12, load_min=0.00, att_min=0.00, quality_max=175.93, quality_avg=76.36, tasks_avg=12.44, HV=0.4626, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  10: profit_max=192.00, profit_avg=82.86, load_min=0.00, att_min=0.00, quality_max=206.31, quality_avg=88.90, tasks_avg=14.48, HV=0.4066, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  11: profit_max=197.00, profit_avg=84.31, load_min=0.00, att_min=0.00, quality_max=239.14, quality_avg=91.20, tasks_avg=14.73, HV=0.3550, feasible ratio=1.00, fea_archive=200, inf_archive=24
Gen  12: profit_max=197.00, profit_avg=89.71, load_min=0.00, att_min=0.00, quality_max=239.14, quality_avg=96.76, tasks_avg=15.62, HV=0.3566, feasible ratio=1.00, fea_archive=200, inf_archive=24
