Run,Index,profit,load,attitude,quality
1,0,-0.0,0.0,0.0,-0.0
1,1,-0.0,0.0,0.0,-0.0
1,2,-0.0,0.0,0.0,-0.0
1,3,-0.0,0.0,0.0,-0.0
1,4,-0.0,0.0,0.0,-0.0
1,5,-0.0,0.0,0.0,-0.0
1,6,-0.0,0.0,0.0,-0.0
1,7,-0.0,0.0,0.0,-0.0
1,8,-32.0,81.04,78.08309067909646,-31.717822281924278
1,9,-39.0,52.239999999999995,92.67665997778228,-41.13005374335995
1,10,-278.0,1164.6399999999999,2118.668938205233,-292.8901405933667
1,11,-226.0,1966.1599999999999,2254.875949614611,-292.9851478725514
1,12,-240.0,2021.4399999999998,1957.895130839222,-252.94226974722397
1,13,-119.0,369.84000000000003,568.4024231421655,-107.83804535676458
1,14,-146.0,638.16,1152.7400762989762,-156.61116485567746
1,15,-81.0,332.56,444.62551225712457,-78.84696420019894
1,16,-186.0,766.64,1670.0257668236754,-219.09096831149648
1,17,-236.0,2768.0,1882.8109308207927,-292.6527849307912
1,18,-252.0,2946.56,2108.219610733669,-283.9229305779018
1,19,-254.0,2530.0,2023.2881633737236,-277.5834724079947
1,20,-27.0,112.24000000000001,85.10318824814966,-34.868487933116626
1,21,-103.0,699.2,429.93292042249516,-96.51788322337951
1,22,-155.0,2074.16,1514.0032489094742,-224.59401451512386
1,23,-45.0,353.84000000000003,253.10212677318447,-46.43381880191378
1,24,-110.0,1301.44,871.8894130086352,-130.67701729721577
1,25,-177.0,1923.44,1221.2674365590997,-184.73439304385448
1,26,-212.0,7230.640000000001,2134.385977852484,-267.88356675775026
1,27,-244.0,7793.76,2084.090090387698,-277.9703043211726
1,28,-34.0,19.439999999999998,0.0,-41.450566841239095
1,29,-48.0,735.36,157.47706772610334,-27.14248277501403
1,30,-163.0,14532.240000000002,1104.9543969929218,-202.61760386345625
1,31,-75.0,1551.76,452.2187623133859,-91.21280425961132
1,32,-195.0,11666.640000000001,1404.7285858028931,-235.9728689800081
1,33,-107.0,4153.839999999999,887.9336761082349,-126.2490934075667
1,34,-244.0,8466.960000000001,1884.1895024538603,-259.57351622089556
1,35,-59.0,27.759999999999998,220.5673500687716,-60.466005517207094
1,36,-241.0,638.1600000000001,1861.9384080629452,-230.03606944320842
1,37,-184.0,487.36,1713.055724748129,-212.68219508003875
1,38,-204.0,332.24,1635.2137563727765,-191.4659747051653
1,39,-202.0,379.75999999999993,1890.1983861285182,-252.62596442413314
1,40,-242.0,542.6400000000001,2010.1520685181117,-270.44607839194134
1,41,-189.0,643.76,1935.729614124781,-243.43251387699277
1,42,-190.0,566.4,2003.1856439009666,-228.39370176256512
1,43,-226.0,706.5600000000002,2139.76795667219,-240.55693713327875
1,44,-41.0,56.4,39.11434111678222,-42.41867921219822
1,45,-41.0,56.4,34.86686134426212,-35.281604329784535
1,46,-211.0,4389.44,1451.2095014650122,-244.60263392683723
1,47,-250.0,3647.3599999999997,2001.6600005312148,-277.2403072293853
1,48,-38.0,182.64000000000001,91.14071968730104,-53.55325669822953
1,49,-51.0,303.76000000000005,139.39349036414237,-29.07922781499991
1,50,-236.0,2883.44,1598.0839216744516,-242.83232814475696
1,51,-181.0,3134.8,1383.7651483679463,-214.85980693604105
1,52,-89.0,1320.6399999999999,548.1735226894193,-114.21920435662119
1,53,-150.0,12680.0,867.3167863440385,-167.70828645893076
1,54,-241.0,1174.96,2032.1274951352975,-286.97315461381805
1,55,-272.0,1552.96,2566.1615370406143,-281.3283275875921
1,56,-31.0,106.16000000000001,0.0,-23.44675916005712
1,57,-3.0,40.96000000000001,0.0,-9.814993100100882
1,58,-9.0,64.0,0.0,-3.87273894825863
1,59,-80.0,669.8399999999999,700.6209540626146,-104.68000525911908
1,60,-253.0,3883.8399999999992,2325.280322511848,-274.8399367930182
1,61,-154.0,11474.0,1200.8564770981761,-207.61815802356116
1,62,-185.0,3794.96,1481.6358908904085,-261.2320395216758
1,63,-264.0,929.2,2212.9095320656834,-255.49078213390982
1,64,-154.0,1827.2,1132.5915058841829,-138.48229727597305
1,65,-101.0,1661.8400000000001,636.7702724174706,-150.21555396041418
1,66,-193.0,1141.3600000000001,1424.617976738354,-233.95294239035547
1,67,-74.0,3250.4,362.49704562354975,-82.8248954940445
1,68,-231.0,1455.7599999999998,1767.5133438866133,-238.39304826309305
1,69,-212.0,1540.0,1598.5367918946058,-249.26821707096153
1,70,-128.0,10487.2,952.0146729975734,-168.16820199546802
1,71,-199.0,5229.76,1434.1606969916124,-181.72938658227835
1,72,-109.0,8030.56,595.9538777778287,-153.600303231631
1,73,-249.0,2542.96,1892.1794202426358,-270.29352411916574
1,74,-161.0,4602.16,1214.327232124255,-194.59364597875722
