Run,Param_Set,DPIC_ALPHA,DPIC_SIGMA,DPIC_GAMMA,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,a0p02_s0p002_g0p90,0.05,0.002,0.9,323.0,0.0,0.0,380.1146840885982,100.0,100.0
2,a0p02_s0p002_g0p90,0.05,0.002,0.9,339.0,34.8,0.0,382.49299099458074,100.0,100.0
3,a0p02_s0p002_g0p90,0.05,0.002,0.9,296.0,0.0,0.0,410.5539848966496,100.0,100.0
4,a0p02_s0p002_g0p90,0.05,0.002,0.9,296.0,0.0,0.0,358.2249434332625,100.0,100.0
5,a0p02_s0p002_g0p90,0.05,0.002,0.9,321.0,0.0,0.0,366.2772681625972,100.0,100.0
6,a0p02_s0p002_g0p90,0.05,0.002,0.9,299.0,0.0,0.0,328.08337614930286,100.0,100.0
7,a0p02_s0p002_g0p90,0.05,0.002,0.9,299.0,0.0,0.0,372.889238571138,100.0,100.0
8,a0p02_s0p002_g0p90,0.05,0.002,0.9,302.0,0.0,0.0,357.0346241251121,100.0,100.0
Average,a0p02_s0p002_g0p90,0.05,0.002,0.9,309.375,4.35,0.0,369.45888880265517,100.0,100.0
Std,a0p02_s0p002_g0p90,0.05,0.002,0.9,15.107427808862765,11.50901820313097,0.0,22.32327164138176,0.0,0.0
