Algorithm,Point_Count,ND_Size,Reference_Size,HV,IGD,GD,Spread_Delta_p
mode_sdas_dpic_dual_archive,800,356,849,0.8537129880614002,0.04352763607149588,0.06520773732653792,0.9975390965671973
mode_sdas_dual_archive,800,293,849,0.8344301567986823,0.04526099644644314,0.0643605381327076,0.8117172277890639
mode_sdas_adaptive_subspace,800,307,849,0.8230491553923236,0.053176001831701396,0.08059862570808973,0.8979437889057099
mode_sdas_dpic,800,337,849,0.795710746321078,0.05020330635238222,0.0773710333477722,0.8469052418304901
mode_sdas,800,337,849,0.7887037854015246,0.04601005947120101,0.06746359484731493,0.8420741580631095
mode_sdas_dpic_only,800,278,849,0.7616367357247587,0.050382418749177475,0.06815021047388362,0.8212357370771491
nsga2,800,338,849,0.6764739516477083,0.07153817139631845,0.003229523203763539,0.5540801237811678
