Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,319.0,0.0,0.0,322.933138560421,100.0,100.0
2,275.0,0.0,0.0,362.21542983175965,100.0,100.0
3,330.0,0.0,0.0,421.9173324937193,100.0,100.0
4,275.0,0.0,0.0,308.24611544091846,100.0,100.0
5,272.0,0.0,0.0,357.8934839270868,100.0,100.0
6,294.0,0.0,0.0,358.0416174998949,100.0,100.0
7,307.0,0.0,0.0,376.01865140379203,100.0,100.0
8,326.0,0.0,0.0,381.4149083979655,100.0,100.0
Average,299.75,0.0,0.0,361.08508469444473,100.0,100.0
Std,22.515272594396897,0.0,0.0,32.796969891538005,0.0,0.0
