Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,214.0,0.0,0.0,263.5384481768948,100.0,100.0
2,205.0,0.0,0.0,300.0822773414884,100.0,100.0
3,241.0,0.0,0.0,272.70156901835844,100.0,100.0
4,249.0,0.0,0.0,281.7705170565234,100.0,100.0
5,214.0,0.0,0.0,293.64362658742886,100.0,100.0
6,210.0,0.0,0.0,264.41040640425524,100.0,100.0
7,200.0,0.0,0.0,274.3361476347952,100.0,100.0
8,208.0,0.0,0.0,258.9846304752295,100.0,100.0
Average,217.625,0.0,0.0,276.18345283687177,100.0,100.0
Std,16.499526508357746,0.0,0.0,13.770725625010527,0.0,0.0
