Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,278.0,0.0,0.0,292.9851478725514,100.0,100.0
2,270.0,0.0,0.0,307.8808714419352,100.0,100.0
3,322.0,36.0,0.0,342.0383169316319,100.0,100.0
4,269.0,0.0,0.0,313.992866151689,100.0,100.0
5,297.0,0.0,0.0,317.991934617047,100.0,100.0
6,340.0,0.0,0.0,393.3991231747372,100.0,100.0
7,289.0,0.0,0.0,297.1062173690424,100.0,100.0
8,280.0,0.0,0.0,275.8317332650389,100.0,100.0
Average,293.125,4.5,0.0,317.65327635295915,100.0,100.0
Std,23.9292577193694,11.905880899790658,0.0,33.94999331120592,0.0,0.0
