å¼€å§‹ s5_t300 / mode_sdas_dual_archiveï¼Œæ—¶é—´ï¼š2026-05-27T16:19:17
å‘½ä»¤ F:\Anaconda\python.exe -u main.py


ÔËÐÐËã·¨£ºMODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.4749, feasible ratio=0.58
Gen  41: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.3952, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  42: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4010, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  43: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4106, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  44: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4105, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  45: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4105, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  46: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4105, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  47: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4105, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  48: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4106, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  49: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4106, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  50: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4106, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  51: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4108, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  52: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4108, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  53: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4110, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  54: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4130, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  55: profit_max=402.00 load_min=50.00, att_min=18.98, quality_max=410.80 HV=0.4157, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  56: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3881, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  57: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3869, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  58: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3871, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  59: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3871, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  60: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3869, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  61: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3869, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  62: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3869, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  63: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3902, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  64: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3902, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  65: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3904, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  66: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3904, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  67: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3930, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  68: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3930, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  69: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3934, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  70: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3933, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  71: profit_max=424.00 load_min=50.00, att_min=18.98, quality_max=430.60 HV=0.3934, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  72: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3825, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  73: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3824, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  74: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3824, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  75: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3826, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  76: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3826, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  77: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3826, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  78: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3826, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  79: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3826, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  80: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3826, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  81: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3826, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  82: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3826, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  83: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3840, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  84: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3840, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  85: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3840, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  86: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3837, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  87: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3839, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  88: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3838, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  89: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3839, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  90: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3839, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  91: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3839, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  92: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3838, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  93: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3838, feasible ratio=1.00, fea_archive=200, inf_archive=68
Gen  94: profit_max=500.00 load_min=50.00, att_min=18.98, quality_max=450.04 HV=0.3838, feasible ratio=1.00, fea_archive=200, inf_archive=68
