Run,Index,profit,load,attitude,quality
1,0,-56.0,174.8,195.512807567853,-58.85057732699302
1,1,-390.0,3482.96,3502.652310448132,-449.848560841404
1,2,-461.0,2392.96,3814.3946526899135,-467.1438382492115
1,3,-349.0,2192.5600000000004,2718.3097294071986,-380.58994007260344
1,4,-129.0,805.04,929.0202992166141,-156.6921402848808
1,5,-28.0,209.84,46.879798389071595,-23.59242335371572
1,6,-18.0,280.23999999999995,26.838058890314702,-30.050475633884382
1,7,-346.0,14833.2,3798.399173498814,-407.5729415262747
1,8,-331.0,21672.64,2925.298456992813,-358.3811981286507
1,9,-270.0,15301.039999999999,1964.991022045026,-297.35180484159287
1,10,-36.0,121.03999999999999,61.14470856092128,-40.03413703593537
1,11,-34.0,343.36,152.77117434664152,-50.24346920046526
1,12,-55.0,182.95999999999998,179.63000067106202,-32.846950674661464
1,13,-42.0,120.55999999999999,82.75345747630966,-47.82421038025858
1,14,-390.0,7982.56,3563.6379283488795,-443.3011031942104
1,15,-51.0,81.03999999999999,172.7005136330526,-46.88113554160734
1,16,-258.0,910.9599999999998,2389.0005047400896,-338.7798305781656
1,17,-347.0,790.9599999999999,3017.048374478902,-379.40768886778284
1,18,-178.0,434.9599999999999,1713.7282505989772,-206.88458889709406
1,19,-208.0,20256.64,1795.6969488417603,-256.20956194876817
1,20,-24.0,485.84,45.93948665979603,-43.70849709966663
1,21,-16.0,200.56,91.87640161107747,-22.278365143152556
1,22,-76.0,95.76,449.7773464942135,-113.92675172279307
1,23,-372.0,4761.76,3409.7081599277476,-404.6167916945451
1,24,-407.0,5306.960000000001,3286.536332717844,-399.6925508262073
1,25,-196.0,14379.84,1316.3478664791696,-200.2910657200289
1,26,-356.0,5233.839999999999,3060.762920948565,-397.9574738647166
1,27,-331.0,11900.8,2630.150085941176,-292.3364763931988
1,28,-175.0,13006.24,1418.2848324283545,-234.6688037211994
1,29,-318.0,2526.64,2705.58893179118,-378.73273426689786
1,30,-346.0,1497.04,2702.0020815196935,-375.3032707536712
1,31,-145.0,9941.2,1090.6568665913978,-191.3379864537749
1,32,-171.0,11437.359999999999,1151.6652305919945,-214.0110260451354
1,33,-292.0,11460.24,2664.1905065773913,-346.32697740254196
1,34,-243.0,9448.4,1770.4819648232683,-244.45901925784108
1,35,-319.0,8010.56,2254.0311371365215,-336.39666117077815
1,36,-240.0,7517.839999999999,1853.3808492848916,-264.3703437694787
1,37,-265.0,1573.8400000000001,2031.4209571989131,-276.59362765554556
1,38,-232.0,11512.0,1731.8531903509083,-226.12195732993013
1,39,-237.0,1407.76,2186.747644104972,-385.19010510802957
1,40,-255.0,1738.5600000000002,2013.92669419895,-254.12030601484264
1,41,-92.0,391.04,570.7930525770889,-101.51953800590955
1,42,-299.0,6022.0,2154.810682061753,-331.1680661008971
1,43,-291.0,4919.4400000000005,2309.5208640532633,-238.02864310658256
