Run,Index,profit,load,attitude,quality
1,0,-281.0,11670.640000000001,1060.672491600885,-289.98879894272415
1,1,-0.0,0.0,0.0,-0.0
1,2,-331.0,6855.2,2007.7182860846635,-367.3097975733904
1,3,-343.0,5494.960000000001,2093.174039028024,-347.81269109631444
1,4,-0.0,0.0,0.0,-0.0
1,5,-28.0,209.2,11.416558588296214,-40.29841887762061
1,6,-39.0,16.56,0.0,-29.235949491872226
1,7,-188.0,134.56,615.1551098719245,-176.97030806953484
1,8,-204.0,1294.8,524.0264781251428,-195.33807396286463
1,9,-119.0,1485.3600000000001,255.02251249242485,-114.33109702217781
1,10,-134.0,2165.36,301.87667983964946,-108.14882935297696
1,11,-169.0,411.36,390.35945357242645,-162.95908553812632
1,12,-225.0,9498.0,640.5019058377043,-216.2767765636237
1,13,-251.0,11327.759999999998,926.6277651998599,-257.5704043682989
1,14,-304.0,10382.96,1328.2488973810473,-309.4133882577133
1,15,-173.0,642.8,481.0708382138591,-156.53148934096427
1,16,-266.0,5054.96,1038.0426713497066,-267.355022204007
1,17,-187.0,5589.84,465.61797233484947,-186.93881375881287
1,18,-330.0,9923.44,1791.8062672187539,-357.68893179823453
1,19,-153.0,57.839999999999996,415.1583698361931,-145.41114668575983
1,20,-311.0,9110.64,1353.2945534819091,-328.6610403746486
1,21,-139.0,1380.16,286.6475959798977,-101.17474673481723
1,22,-337.0,6946.8,2036.1327826702675,-357.02367751010695
1,23,-255.0,8347.84,952.1087058368321,-262.956370834124
1,24,-149.0,313.43999999999994,359.3000480695497,-139.581368621113
1,25,-56.0,309.2,76.90720362647245,-43.93201023765483
1,26,-181.0,636.9599999999999,514.7506839717847,-178.93207802686626
1,27,-147.0,2983.3599999999997,328.5048997996658,-118.33725385777014
1,28,-203.0,1069.44,745.8407351939403,-207.13449963140332
1,29,-325.0,6873.2,1947.0269722819187,-358.70351101113573
1,30,-247.0,8165.039999999999,776.6485191133899,-236.81015376879
1,31,-321.0,3374.5600000000004,1571.91226890967,-314.10395763042953
1,32,-69.0,268.0,190.4120048405166,-71.74835864930905
1,33,-331.0,8847.439999999999,1840.5326892926853,-363.1669192767366
1,34,-256.0,6754.24,824.2894814954927,-251.09857128627883
1,35,-319.0,7879.76,1668.696260373716,-350.54627797443777
1,36,-234.0,3999.04,683.7412182982382,-228.68007796104743
1,37,-46.0,338.96000000000004,67.4846664960508,-50.65301557157508
1,38,-319.0,4361.039999999999,1629.706133824327,-323.85746419682505
1,39,-270.0,6117.44,1130.1158942056836,-283.64459388399206
1,40,-82.0,530.24,147.47200066269005,-75.19945503991072
1,41,-32.0,107.6,0.0,-34.80981622533275
1,42,-289.0,10552.240000000002,1264.708445113102,-302.183649096163
1,43,-302.0,10740.64,1203.0761526966148,-305.3242811366389
1,44,-92.0,68.56,209.8317531673029,-95.0863398669882
1,45,-52.0,164.4,42.071267573433715,-47.438993212013145
1,46,-73.0,550.24,119.64155158275634,-84.80078751925511
1,47,-336.0,8267.44,1918.3392259765217,-366.60614614398946
1,48,-160.0,297.2,508.91204732127335,-159.1776293732807
1,49,-101.0,1644.1599999999999,190.05242093901856,-90.71285393020932
1,50,-333.0,6510.5599999999995,1735.6650888711367,-342.30843745883243
1,51,-97.0,418.16,179.31515600468913,-91.66137261553989
1,52,-334.0,5418.160000000001,1834.8810668122183,-348.31382907126766
1,53,-301.0,7720.160000000001,1391.5477296071363,-334.0587588674667
1,54,-230.0,3535.6,847.5340087177942,-255.01203102242468
1,55,-222.0,2639.3599999999997,805.875768097636,-216.37648156521007
1,56,-213.0,901.36,813.9143374400333,-201.4492358195644
1,57,-73.0,236.96000000000004,102.13205491995407,-64.3768980864821
1,58,-115.0,1102.96,340.43589875361516,-122.30500804995644
1,59,-298.0,1961.7600000000002,1306.1786191636986,-287.2336757073295
1,60,-311.0,4489.6,1603.1780109673748,-328.0054513634445
1,61,-252.0,7215.039999999999,858.7635225864165,-256.79408647500964
1,62,-93.0,1024.56,138.34229054976277,-68.18252180707357
1,63,-288.0,7884.159999999999,1238.6890046345068,-304.1286735604303
1,64,-308.0,3092.5600000000004,1356.3832126796476,-295.13805480395837
1,65,-109.0,1897.0400000000002,278.8429780087808,-118.60003098308043
1,66,-155.0,755.8399999999999,377.0305619557842,-143.24905716074161
1,67,-297.0,4721.04,1525.4307440802804,-303.6435562899223
1,68,-194.0,5933.04,503.89045285251194,-189.0429430495544
