Run,Index,profit,load,attitude,quality
1,0,-35.0,270.64,95.58820358040191,-38.265476727160504
1,1,-51.0,260.15999999999997,158.8209451156857,-53.98346347275386
1,2,-433.0,10564.96,3646.052219858744,-417.83315067237265
1,3,-346.0,8972.24,3127.663511703865,-397.2507502667249
1,4,-254.0,1829.2,1702.7159347037273,-250.44674682442087
1,5,-114.0,165.04000000000002,742.6704644511325,-115.04776264883367
1,6,-186.0,408.0,1544.4906472189111,-209.23015635342858
1,7,-183.0,432.9599999999999,1806.8514175295961,-224.80133941794713
1,8,-86.0,203.76,661.6466989736368,-123.07647780381487
1,9,-154.0,468.0,1253.4697483947712,-166.20803161157426
1,10,-17.0,169.83999999999997,0.0,-21.89081866269732
1,11,-387.0,24533.2,2938.4958366541096,-371.4740315291759
1,12,-339.0,24611.839999999997,2542.805536547421,-377.45471179512043
1,13,-378.0,8809.84,2877.6336995094034,-387.9448952632243
1,14,-300.0,18647.76,2290.0094629697246,-339.72970174827134
1,15,-368.0,1287.2,3007.001139497667,-354.0846934945221
1,16,-71.0,198.8,295.78051413811886,-85.7319630156687
1,17,-320.0,2018.8,2325.128980897424,-288.61895988612866
1,18,-198.0,995.04,1371.7138038611188,-178.8292046457637
1,19,-293.0,5905.76,2260.9705188533,-253.55761489139093
1,20,-370.0,3393.7599999999998,3203.602223883097,-405.4050733213204
1,21,-394.0,4980.5599999999995,3031.689423475713,-296.3576205647821
1,22,-41.0,175.35999999999999,59.435512831765195,-41.463302961043155
1,23,-52.0,1372.8,112.01475862737776,-34.85461142998256
1,24,-26.0,660.4,43.493235005961154,-35.33562955789836
1,25,-284.0,18494.559999999998,2183.6015285712087,-323.7594077449222
1,26,-175.0,12611.36,1359.338633696644,-223.89395888996887
1,27,-246.0,14992.24,1568.05410302019,-255.896360498836
1,28,-328.0,7668.240000000001,2680.971984749053,-371.4311508669445
1,29,-200.0,17075.44,1327.205911217736,-237.499685715633
1,30,-350.0,6467.84,2703.498244409748,-345.1298874856203
1,31,-379.0,5500.160000000001,2960.108317664963,-368.6531402033071
1,32,-321.0,17384.24,2508.4513140627428,-308.5831940933231
1,33,-338.0,4884.8,2962.0773910192815,-352.88757507082636
1,34,-204.0,10706.96,1310.1316459122943,-212.27794036243046
1,35,-209.0,9520.0,1466.3808487721262,-226.43085725697208
1,36,-290.0,3731.4399999999996,1942.9605990412556,-285.79325882746997
1,37,-301.0,6714.960000000001,2220.511332722236,-282.0264109591048
1,38,-75.0,2794.1600000000003,270.7939499979751,-69.17092001691296
1,39,-186.0,6870.160000000001,1068.385906225672,-190.017166861432
1,40,-279.0,1912.4,2033.8015796548927,-266.1155455643073
1,41,-264.0,5749.359999999999,1682.8727591514473,-246.62178441229906
1,42,-252.0,1598.0,2386.2382053145616,-274.34139583515343
