Run,Index,profit,load,attitude,quality
1,0,-48.0,131.84,165.09404105177862,-44.61871092696602
1,1,-463.0,3521.04,3967.7917252545076,-481.164964422928
1,2,-402.0,2182.1600000000003,2821.077640736589,-362.9289345854495
1,3,-329.0,2364.24,2585.759928757348,-294.1536684651923
1,4,-205.0,1243.76,1343.7501613746188,-200.9121630128734
1,5,-281.0,1896.9599999999998,2267.411716474995,-260.83461029460733
1,6,-179.0,781.44,976.8600139209998,-176.20444901144225
1,7,-105.0,589.76,688.8700990596672,-112.8904212223701
1,8,-29.0,277.84,28.603362774331273,-40.0838893114619
1,9,-35.0,27.04,0.0,-26.530419800482484
1,10,-512.0,24862.0,3820.443661196312,-511.8762591843499
1,11,-416.0,22617.440000000002,3096.00229499901,-347.8519864081698
1,12,-121.0,3051.44,596.603203271444,-105.20850228422329
1,13,-334.0,13545.36,2853.295245547257,-321.4110782597262
1,14,-142.0,3957.7599999999998,846.7828770778754,-142.67613553288928
1,15,-44.0,798.4,151.07278440819945,-44.33473699180046
1,16,-36.0,270.15999999999997,174.8382273803167,-44.74360094227344
1,17,-51.0,286.0,162.22434428905495,-37.43976522318932
1,18,-355.0,5380.5599999999995,3027.981997730118,-355.2786233275554
1,19,-408.0,4843.76,3199.141089801948,-434.0067702145896
1,20,-446.0,4825.84,3400.0250928169403,-389.3228119013284
1,21,-73.0,211.04000000000002,175.0306390278023,-61.50187641324692
1,22,-249.0,2810.6400000000003,1712.4640112557515,-242.97453472034843
1,23,-285.0,4158.16,2147.690870755401,-318.0886762630539
1,24,-68.0,94.24000000000001,340.54857539604023,-68.07192239600849
1,25,-98.0,20.240000000000002,653.9866309034753,-91.86227527161864
1,26,-339.0,385.36,2301.382475898597,-300.96695048784903
1,27,-336.0,1103.3600000000001,2493.523269133012,-303.2654865118829
1,28,-281.0,697.04,2008.31319572745,-272.2800637612139
1,29,-200.0,616.24,1378.4283163406212,-207.19686007755598
1,30,-137.0,171.76,901.8033619186521,-126.60866289065761
1,31,-212.0,109.6,1827.3153608316222,-202.26083679225474
1,32,-43.0,182.8,79.73926806804671,-40.35192778484057
1,33,-380.0,8466.240000000002,3526.619758388717,-387.20951750150334
1,34,-424.0,9804.8,3145.2268670039334,-435.1536193052249
1,35,-345.0,5345.039999999999,2495.6782879130387,-301.17008729366336
1,36,-275.0,6640.160000000001,2107.4708115994677,-311.92222288200327
