Run,Index,profit,load,attitude,quality
1,0,-0.0,0.0,0.0,-0.0
1,1,-118.0,125.75999999999999,578.6728903633041,-119.36335806251935
1,2,-8.0,40.960000000000015,0.0,-3.005081422177394
1,3,-114.0,2905.36,878.4507479864039,-135.0707254295956
1,4,-30.0,313.35999999999996,206.35026871397443,-25.97649198777434
1,5,-26.0,93.44000000000001,150.19254146980614,-36.44357308127916
1,6,-22.0,101.35999999999999,0.0,-14.827012947327859
1,7,-15.0,105.75999999999999,0.0,-15.052551320659411
1,8,-122.0,1398.8,972.8133015803429,-142.74520299560828
1,9,-140.0,4570.96,753.3392501006566,-142.95287043195304
1,10,-128.0,2561.84,792.1266690479746,-124.85009726654579
1,11,-98.0,2135.44,576.8260934298528,-118.82409548332585
1,12,-120.0,809.4399999999999,636.1393854089846,-115.21372777946259
1,13,-91.0,1156.56,430.291508731925,-80.2446991575847
1,14,-94.0,993.8399999999999,523.3158535730182,-100.00710495026385
1,15,-50.0,398.64,180.1782056797752,-52.317078885017516
1,16,-41.0,751.84,58.40002229246862,-29.231181386621948
1,17,-60.0,968.64,318.1103579176507,-66.86037584990737
1,18,-69.0,1004.5599999999998,208.59520765544633,-88.88534738660148
1,19,-37.0,104.16,34.5520714284976,-48.59160183522822
1,20,-28.0,183.6,24.26316549834337,-26.60976995200984
1,21,-39.0,577.6,138.1080281784341,-34.741760979265116
1,22,-87.0,648.24,407.3857634022301,-78.11542544216574
1,23,-74.0,364.24000000000007,319.04885585920107,-73.37917887575907
1,24,-60.0,888.2400000000001,473.79348595479524,-91.67931673347184
1,25,-46.0,336.15999999999997,171.2677796206367,-39.10377821142319
1,26,-23.0,212.16,8.51313414671706,-22.080555745251324
1,27,-77.0,297.04,540.2983432868408,-75.41071148378866
1,28,-47.0,754.1600000000001,241.3595649091949,-69.14075461293382
1,29,-84.0,504.56000000000006,538.32060137896,-97.87646852878744
