Run,Profit_max,Load_min,Attitude_min,Quality_max,Final_feasible_count,Final_candidate_count
1,140.0,0.0,0.0,142.95287043195304,30.0,30.0
Average,140.0,0.0,0.0,142.95287043195304,30.0,30.0
Std,0.0,0.0,0.0,0.0,0.0,0.0
