开始 s5_t100 / mode_sdas_dpic_dual_archive，时间：2026-05-25T15:41:24
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + DPIC + Dual Archive

========== MODE-SDAS + DPIC + Dual Archive Run 1/8 ==========
Init: HV=0.4747, feasible ratio=0.71
Gen   1: profit_max=81.00, profit_avg=29.17, load_min=0.00, att_min=0.00, quality_max=81.58, quality_avg=30.93, tasks_avg=5.07, HV=0.4321, feasible ratio=1.00, fea_archive=171, inf_archive=29
Gen   2: profit_max=123.00, profit_avg=53.61, load_min=0.00, att_min=0.00, quality_max=116.95, quality_avg=55.37, tasks_avg=9.33, HV=0.4724, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen   3: profit_max=142.00, profit_avg=64.68, load_min=0.00, att_min=0.00, quality_max=161.35, quality_avg=68.18, tasks_avg=11.29, HV=0.3976, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen   4: profit_max=176.00, profit_avg=71.14, load_min=0.00, att_min=0.00, quality_max=184.71, quality_avg=75.62, tasks_avg=12.50, HV=0.4182, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen   5: profit_max=184.00, profit_avg=77.38, load_min=0.00, att_min=0.00, quality_max=207.22, quality_avg=81.29, tasks_avg=13.46, HV=0.4287, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen   6: profit_max=240.00, profit_avg=81.49, load_min=0.00, att_min=0.00, quality_max=257.29, quality_avg=85.75, tasks_avg=14.13, HV=0.3753, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen   7: profit_max=240.00, profit_avg=95.05, load_min=0.00, att_min=0.00, quality_max=257.29, quality_avg=98.30, tasks_avg=16.36, HV=0.4097, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen   8: profit_max=240.00, profit_avg=102.94, load_min=0.00, att_min=0.00, quality_max=257.29, quality_avg=105.24, tasks_avg=17.71, HV=0.4251, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen   9: profit_max=245.00, profit_avg=106.58, load_min=0.00, att_min=0.00, quality_max=257.29, quality_avg=110.76, tasks_avg=18.40, HV=0.4688, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  10: profit_max=245.00, profit_avg=109.50, load_min=0.00, att_min=0.00, quality_max=258.13, quality_avg=113.65, tasks_avg=18.78, HV=0.4766, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  11: profit_max=245.00, profit_avg=112.15, load_min=0.00, att_min=0.00, quality_max=258.13, quality_avg=116.71, tasks_avg=19.26, HV=0.4907, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  12: profit_max=257.00, profit_avg=113.22, load_min=0.00, att_min=0.00, quality_max=258.13, quality_avg=116.46, tasks_avg=19.37, HV=0.4684, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  13: profit_max=259.00, profit_avg=121.24, load_min=0.00, att_min=0.00, quality_max=267.15, quality_avg=124.30, tasks_avg=20.81, HV=0.4597, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  14: profit_max=259.00, profit_avg=124.44, load_min=0.00, att_min=0.00, quality_max=284.86, quality_avg=128.18, tasks_avg=21.36, HV=0.4424, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  15: profit_max=259.00, profit_avg=123.78, load_min=0.00, att_min=0.00, quality_max=284.86, quality_avg=127.40, tasks_avg=21.18, HV=0.4433, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  16: profit_max=259.00, profit_avg=123.16, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=126.48, tasks_avg=21.12, HV=0.4220, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  17: profit_max=270.00, profit_avg=126.13, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=129.04, tasks_avg=21.53, HV=0.4127, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  18: profit_max=270.00, profit_avg=129.10, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=131.90, tasks_avg=22.09, HV=0.4152, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  19: profit_max=270.00, profit_avg=131.34, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=134.83, tasks_avg=22.48, HV=0.4222, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  20: profit_max=270.00, profit_avg=137.17, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=141.84, tasks_avg=23.48, HV=0.4216, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  21: profit_max=289.00, profit_avg=143.98, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=148.15, tasks_avg=24.64, HV=0.3962, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  22: profit_max=289.00, profit_avg=144.43, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=148.55, tasks_avg=24.68, HV=0.3951, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  23: profit_max=289.00, profit_avg=141.12, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=144.79, tasks_avg=24.14, HV=0.4036, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  24: profit_max=289.00, profit_avg=145.30, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=149.72, tasks_avg=24.80, HV=0.4052, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  25: profit_max=289.00, profit_avg=143.84, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=148.33, tasks_avg=24.50, HV=0.4057, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  26: profit_max=289.00, profit_avg=144.24, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=148.28, tasks_avg=24.46, HV=0.4081, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  27: profit_max=289.00, profit_avg=146.79, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=150.85, tasks_avg=24.95, HV=0.4794, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  28: profit_max=289.00, profit_avg=147.40, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=152.22, tasks_avg=25.08, HV=0.4834, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  29: profit_max=289.00, profit_avg=148.83, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=154.23, tasks_avg=25.40, HV=0.4840, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  30: profit_max=289.00, profit_avg=148.48, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=154.40, tasks_avg=25.35, HV=0.4831, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  31: profit_max=289.00, profit_avg=151.23, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=157.03, tasks_avg=25.89, HV=0.4802, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  32: profit_max=299.00, profit_avg=152.84, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=158.78, tasks_avg=26.19, HV=0.4669, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  33: profit_max=299.00, profit_avg=152.66, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=159.21, tasks_avg=26.16, HV=0.4669, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  34: profit_max=299.00, profit_avg=154.10, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=160.58, tasks_avg=26.45, HV=0.4663, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  35: profit_max=299.00, profit_avg=154.16, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=160.47, tasks_avg=26.46, HV=0.4662, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  36: profit_max=299.00, profit_avg=153.48, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=159.65, tasks_avg=26.32, HV=0.4641, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  37: profit_max=299.00, profit_avg=152.44, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=158.71, tasks_avg=26.17, HV=0.4643, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  38: profit_max=299.00, profit_avg=150.84, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=156.84, tasks_avg=25.86, HV=0.4660, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  39: profit_max=299.00, profit_avg=152.24, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=158.56, tasks_avg=26.15, HV=0.4662, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  40: profit_max=299.00, profit_avg=150.18, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=157.31, tasks_avg=25.84, HV=0.4669, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  41: profit_max=299.00, profit_avg=151.16, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=159.14, tasks_avg=26.02, HV=0.4677, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  42: profit_max=299.00, profit_avg=150.36, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=158.99, tasks_avg=25.90, HV=0.4677, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  43: profit_max=299.00, profit_avg=152.14, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=161.01, tasks_avg=26.27, HV=0.4717, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  44: profit_max=299.00, profit_avg=151.92, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=160.82, tasks_avg=26.24, HV=0.4717, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  45: profit_max=299.00, profit_avg=150.65, load_min=0.00, att_min=0.00, quality_max=304.96, quality_avg=159.92, tasks_avg=26.01, HV=0.4754, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  46: profit_max=299.00, profit_avg=153.27, load_min=0.00, att_min=0.00, quality_max=352.97, quality_avg=162.93, tasks_avg=26.51, HV=0.4122, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  47: profit_max=299.00, profit_avg=154.49, load_min=0.00, att_min=0.00, quality_max=352.97, quality_avg=164.13, tasks_avg=26.70, HV=0.4133, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  48: profit_max=302.00, profit_avg=153.52, load_min=0.00, att_min=0.00, quality_max=352.97, quality_avg=163.03, tasks_avg=26.45, HV=0.4196, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  49: profit_max=302.00, profit_avg=152.91, load_min=0.00, att_min=0.00, quality_max=352.97, quality_avg=163.01, tasks_avg=26.38, HV=0.4213, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  50: profit_max=302.00, profit_avg=157.09, load_min=0.00, att_min=0.00, quality_max=352.97, quality_avg=167.89, tasks_avg=27.12, HV=0.4217, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  51: profit_max=302.00, profit_avg=156.24, load_min=0.00, att_min=0.00, quality_max=352.97, quality_avg=167.37, tasks_avg=26.98, HV=0.4241, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  52: profit_max=302.00, profit_avg=158.86, load_min=0.00, att_min=0.00, quality_max=352.97, quality_avg=171.20, tasks_avg=27.47, HV=0.4281, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  53: profit_max=302.00, profit_avg=156.17, load_min=0.00, att_min=0.00, quality_max=352.97, quality_avg=169.87, tasks_avg=26.95, HV=0.4302, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  54: profit_max=318.00, profit_avg=156.62, load_min=0.00, att_min=0.00, quality_max=361.73, quality_avg=170.60, tasks_avg=27.03, HV=0.4042, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  55: profit_max=318.00, profit_avg=158.27, load_min=0.00, att_min=0.00, quality_max=361.73, quality_avg=172.25, tasks_avg=27.29, HV=0.4048, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  56: profit_max=318.00, profit_avg=158.08, load_min=0.00, att_min=0.00, quality_max=361.73, quality_avg=172.00, tasks_avg=27.17, HV=0.4100, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  57: profit_max=318.00, profit_avg=158.50, load_min=0.00, att_min=0.00, quality_max=361.73, quality_avg=171.92, tasks_avg=27.20, HV=0.4102, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  58: profit_max=318.00, profit_avg=158.68, load_min=0.00, att_min=0.00, quality_max=361.73, quality_avg=171.62, tasks_avg=27.25, HV=0.4107, feasible ratio=1.00, fea_archive=200, inf_archive=29
Gen  59: profit_max=318.00, profit_avg=160.48, load_min=0.00, att_min=0.00, quality_max=361.73, quality_avg=173.58, tasks_avg=27.59, HV=0.4107, feasible ratio=1.00, fea_archive=200, inf_archive=29
