ÂºÄÂßã s5_t100 / nsga2ÔºåÊó∂Èó¥Ôºö2026-05-25T18:28:55
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫NSGA-II

========== NSGA-II Run 1/8 ==========
ø™ º‘À–– pymoo NSGA-II ...
Gen  39: profit_max=199.00, profit_avg=119.95, load_min=0.00, att_min=0.00, quality_max=220.62, quality_avg=126.68, HV=0.5572, feasible ratio=1.00
Gen  40: profit_max=199.00, profit_avg=124.23, load_min=0.00, att_min=0.00, quality_max=220.62, quality_avg=130.56, HV=0.5601, feasible ratio=1.00
Gen  41: profit_max=204.00, profit_avg=125.90, load_min=0.00, att_min=0.00, quality_max=227.65, quality_avg=132.36, HV=0.5533, feasible ratio=1.00
Gen  42: profit_max=204.00, profit_avg=128.31, load_min=0.00, att_min=0.00, quality_max=234.50, quality_avg=135.57, HV=0.5471, feasible ratio=1.00
Gen  43: profit_max=204.00, profit_avg=125.25, load_min=0.00, att_min=0.00, quality_max=234.50, quality_avg=130.40, HV=0.5481, feasible ratio=1.00
Gen  44: profit_max=204.00, profit_avg=124.63, load_min=0.00, att_min=0.00, quality_max=234.50, quality_avg=129.92, HV=0.5504, feasible ratio=1.00
Gen  45: profit_max=204.00, profit_avg=128.16, load_min=0.00, att_min=0.00, quality_max=234.50, quality_avg=134.25, HV=0.5530, feasible ratio=1.00
Gen  46: profit_max=204.00, profit_avg=127.66, load_min=0.00, att_min=0.00, quality_max=234.50, quality_avg=134.56, HV=0.5598, feasible ratio=1.00
Gen  47: profit_max=204.00, profit_avg=133.76, load_min=0.00, att_min=0.00, quality_max=234.50, quality_avg=141.16, HV=0.5734, feasible ratio=1.00
Gen  48: profit_max=206.00, profit_avg=127.82, load_min=0.00, att_min=0.00, quality_max=234.50, quality_avg=133.80, HV=0.5725, feasible ratio=1.00
Gen  49: profit_max=206.00, profit_avg=128.24, load_min=0.00, att_min=0.00, quality_max=234.50, quality_avg=134.14, HV=0.5745, feasible ratio=1.00
Gen  50: profit_max=206.00, profit_avg=129.71, load_min=0.00, att_min=0.00, quality_max=237.55, quality_avg=136.75, HV=0.5757, feasible ratio=1.00
Gen  51: profit_max=206.00, profit_avg=131.11, load_min=0.00, att_min=0.00, quality_max=237.55, quality_avg=138.76, HV=0.5726, feasible ratio=1.00
Gen  52: profit_max=208.00, profit_avg=132.33, load_min=0.00, att_min=0.00, quality_max=237.55, quality_avg=141.21, HV=0.5689, feasible ratio=1.00
Gen  53: profit_max=208.00, profit_avg=133.42, load_min=0.00, att_min=0.00, quality_max=240.58, quality_avg=142.13, HV=0.5608, feasible ratio=1.00
Gen  54: profit_max=208.00, profit_avg=132.91, load_min=0.00, att_min=0.00, quality_max=240.58, quality_avg=140.48, HV=0.5663, feasible ratio=1.00
Gen  55: profit_max=208.00, profit_avg=133.28, load_min=0.00, att_min=0.00, quality_max=240.58, quality_avg=140.37, HV=0.5705, feasible ratio=1.00
Gen  56: profit_max=208.00, profit_avg=133.26, load_min=0.00, att_min=0.00, quality_max=240.58, quality_avg=139.93, HV=0.5666, feasible ratio=1.00
Gen  57: profit_max=208.00, profit_avg=131.79, load_min=0.00, att_min=0.00, quality_max=244.98, quality_avg=139.12, HV=0.5541, feasible ratio=1.00
Gen  58: profit_max=208.00, profit_avg=135.35, load_min=0.00, att_min=0.00, quality_max=245.08, quality_avg=143.95, HV=0.5475, feasible ratio=1.00
Gen  59: profit_max=208.00, profit_avg=134.90, load_min=0.00, att_min=0.00, quality_max=245.08, quality_avg=144.09, HV=0.5557, feasible ratio=1.00
Gen  60: profit_max=208.00, profit_avg=135.97, load_min=0.00, att_min=0.00, quality_max=245.08, quality_avg=144.72, HV=0.5590, feasible ratio=1.00
Gen  61: profit_max=208.00, profit_avg=133.76, load_min=0.00, att_min=0.00, quality_max=245.08, quality_avg=142.88, HV=0.5585, feasible ratio=1.00
Gen  62: profit_max=208.00, profit_avg=132.79, load_min=0.00, att_min=0.00, quality_max=248.13, quality_avg=141.62, HV=0.5524, feasible ratio=1.00
Gen  63: profit_max=208.00, profit_avg=134.03, load_min=0.00, att_min=0.00, quality_max=248.13, quality_avg=143.83, HV=0.5637, feasible ratio=1.00
Gen  64: profit_max=208.00, profit_avg=133.90, load_min=0.00, att_min=0.00, quality_max=248.13, quality_avg=143.21, HV=0.5634, feasible ratio=1.00
Gen  65: profit_max=208.00, profit_avg=136.92, load_min=0.00, att_min=0.00, quality_max=252.52, quality_avg=148.14, HV=0.5599, feasible ratio=1.00
Gen  66: profit_max=208.00, profit_avg=132.91, load_min=0.00, att_min=0.00, quality_max=254.66, quality_avg=141.98, HV=0.5567, feasible ratio=1.00
Gen  67: profit_max=208.00, profit_avg=131.16, load_min=0.00, att_min=0.00, quality_max=254.66, quality_avg=140.05, HV=0.5386, feasible ratio=1.00
Gen  68: profit_max=208.00, profit_avg=135.05, load_min=0.00, att_min=0.00, quality_max=254.66, quality_avg=145.34, HV=0.5383, feasible ratio=1.00
Gen  69: profit_max=208.00, profit_avg=132.21, load_min=0.00, att_min=0.00, quality_max=254.66, quality_avg=143.04, HV=0.5454, feasible ratio=1.00
Gen  70: profit_max=208.00, profit_avg=132.92, load_min=0.00, att_min=0.00, quality_max=254.66, quality_avg=143.26, HV=0.5373, feasible ratio=1.00
Gen  71: profit_max=208.00, profit_avg=133.43, load_min=0.00, att_min=0.00, quality_max=256.87, quality_avg=145.19, HV=0.5453, feasible ratio=1.00
Gen  72: profit_max=208.00, profit_avg=131.84, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=142.99, HV=0.5413, feasible ratio=1.00
Gen  73: profit_max=208.00, profit_avg=133.60, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=145.12, HV=0.5452, feasible ratio=1.00
Gen  74: profit_max=208.00, profit_avg=134.44, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=145.64, HV=0.5394, feasible ratio=1.00
Gen  75: profit_max=208.00, profit_avg=134.96, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=146.78, HV=0.5371, feasible ratio=1.00
Gen  76: profit_max=208.00, profit_avg=138.15, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=150.72, HV=0.5460, feasible ratio=1.00
Gen  77: profit_max=208.00, profit_avg=138.14, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=151.13, HV=0.5635, feasible ratio=1.00
Gen  78: profit_max=208.00, profit_avg=138.54, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=151.08, HV=0.5618, feasible ratio=1.00
Gen  79: profit_max=208.00, profit_avg=138.19, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=150.79, HV=0.5397, feasible ratio=1.00
Gen  80: profit_max=208.00, profit_avg=140.03, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=152.82, HV=0.5402, feasible ratio=1.00
Gen  81: profit_max=208.00, profit_avg=138.45, load_min=0.00, att_min=0.00, quality_max=258.24, quality_avg=150.07, HV=0.5405, feasible ratio=1.00
