ÂºÄÂßã s5_t100 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-25T07:31:39
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.5651, feasible ratio=0.80
Gen   1: profit_max=   60.00, profit_avg=   22.29, load_min=      0.00, att_min=      0.00, quality_max=     80.96, quality_avg=     31.15, tasks_avg=  4.88, HV=0.4824, feasible ratio=1.00
Gen  32: profit_max=  295.00, profit_avg=  137.91, load_min=      0.00, att_min=      0.00, quality_max=    308.49, quality_avg=    158.59, tasks_avg= 26.31, HV=0.4651, feasible ratio=1.00
Gen  33: profit_max=  295.00, profit_avg=  139.50, load_min=      0.00, att_min=      0.00, quality_max=    308.49, quality_avg=    159.79, tasks_avg= 26.52, HV=0.4649, feasible ratio=1.00
Gen  34: profit_max=  295.00, profit_avg=  143.04, load_min=      0.00, att_min=      0.00, quality_max=    308.49, quality_avg=    162.81, tasks_avg= 27.04, HV=0.4695, feasible ratio=1.00
Gen  35: profit_max=  295.00, profit_avg=  144.48, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    164.44, tasks_avg= 27.28, HV=0.4560, feasible ratio=1.00
Gen  36: profit_max=  295.00, profit_avg=  146.04, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    165.32, tasks_avg= 27.59, HV=0.4558, feasible ratio=1.00
Gen  37: profit_max=  298.00, profit_avg=  146.14, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    165.07, tasks_avg= 27.59, HV=0.4485, feasible ratio=1.00
Gen  38: profit_max=  298.00, profit_avg=  145.10, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    164.26, tasks_avg= 27.40, HV=0.4601, feasible ratio=1.00
Gen  39: profit_max=  298.00, profit_avg=  142.10, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    162.51, tasks_avg= 26.81, HV=0.4618, feasible ratio=1.00
Gen  40: profit_max=  298.00, profit_avg=  145.21, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    165.38, tasks_avg= 27.31, HV=0.4670, feasible ratio=1.00
Gen  41: profit_max=  298.00, profit_avg=  144.90, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    165.13, tasks_avg= 27.21, HV=0.4671, feasible ratio=1.00
Gen  42: profit_max=  298.00, profit_avg=  147.27, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    166.94, tasks_avg= 27.61, HV=0.4647, feasible ratio=1.00
Gen  43: profit_max=  298.00, profit_avg=  147.05, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    167.16, tasks_avg= 27.57, HV=0.4637, feasible ratio=1.00
Gen  44: profit_max=  298.00, profit_avg=  148.87, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    168.85, tasks_avg= 27.91, HV=0.4559, feasible ratio=1.00
Gen  45: profit_max=  298.00, profit_avg=  150.63, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    170.50, tasks_avg= 28.23, HV=0.4620, feasible ratio=1.00
Gen  46: profit_max=  298.00, profit_avg=  151.49, load_min=      0.00, att_min=      0.00, quality_max=    328.40, quality_avg=    172.08, tasks_avg= 28.42, HV=0.4622, feasible ratio=1.00
