å¼€å§‹ s5_t500 / mode_sdasï¼Œæ—¶é—´ï¼š2026-05-27T00:48:15
å‘½ä»¤ F:\Anaconda\python.exe -u main.py


ÔËÐÐËã·¨£ºMODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.4297, feasible ratio=0.28
Gen  32: profit_max=  487.00, profit_avg=  189.34, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    205.44, tasks_avg= 34.15, HV=0.3407, feasible ratio=1.00
Gen  33: profit_max=  487.00, profit_avg=  188.28, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    204.65, tasks_avg= 33.94, HV=0.3409, feasible ratio=1.00
Gen  34: profit_max=  487.00, profit_avg=  190.10, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    206.60, tasks_avg= 34.27, HV=0.3410, feasible ratio=1.00
Gen  35: profit_max=  487.00, profit_avg=  193.13, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    209.27, tasks_avg= 34.71, HV=0.3649, feasible ratio=1.00
Gen  36: profit_max=  487.00, profit_avg=  194.60, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    210.71, tasks_avg= 34.97, HV=0.3649, feasible ratio=1.00
Gen  37: profit_max=  487.00, profit_avg=  197.76, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    214.25, tasks_avg= 35.51, HV=0.3704, feasible ratio=1.00
Gen  38: profit_max=  487.00, profit_avg=  197.98, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    214.67, tasks_avg= 35.54, HV=0.3704, feasible ratio=1.00
Gen  39: profit_max=  487.00, profit_avg=  197.98, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    214.67, tasks_avg= 35.54, HV=0.3704, feasible ratio=1.00
Gen  40: profit_max=  487.00, profit_avg=  197.98, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    214.67, tasks_avg= 35.54, HV=0.3704, feasible ratio=1.00
Gen  41: profit_max=  487.00, profit_avg=  197.98, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    214.67, tasks_avg= 35.54, HV=0.3704, feasible ratio=1.00
Gen  42: profit_max=  487.00, profit_avg=  197.98, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    214.67, tasks_avg= 35.54, HV=0.3704, feasible ratio=1.00
Gen  43: profit_max=  487.00, profit_avg=  200.84, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    218.04, tasks_avg= 36.09, HV=0.3712, feasible ratio=1.00
Gen  44: profit_max=  487.00, profit_avg=  201.99, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    219.00, tasks_avg= 36.28, HV=0.3712, feasible ratio=1.00
Gen  45: profit_max=  487.00, profit_avg=  203.31, load_min=     64.40, att_min=    230.62, quality_max=    464.72, quality_avg=    220.44, tasks_avg= 36.53, HV=0.3742, feasible ratio=1.00
