START s5_t100 / mode_sdas_dpic: 2026-05-27T19:12:41
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5436, feasible ratio=0.79
Gen  28: profit_max=278.00, profit_avg=129.63, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=143.33, tasks_avg=23.41, HV=0.4649, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  29: profit_max=278.00, profit_avg=129.79, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=144.48, tasks_avg=23.53, HV=0.4679, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  30: profit_max=278.00, profit_avg=129.92, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=144.45, tasks_avg=23.53, HV=0.4679, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  31: profit_max=278.00, profit_avg=128.01, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=142.58, tasks_avg=23.18, HV=0.4658, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  32: profit_max=278.00, profit_avg=127.01, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=141.71, tasks_avg=23.03, HV=0.4657, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  33: profit_max=278.00, profit_avg=126.04, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=140.75, tasks_avg=22.87, HV=0.4648, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  34: profit_max=278.00, profit_avg=126.86, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=140.75, tasks_avg=22.96, HV=0.4643, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  35: profit_max=278.00, profit_avg=125.35, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=139.23, tasks_avg=22.68, HV=0.4654, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  36: profit_max=278.00, profit_avg=129.63, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=143.62, tasks_avg=23.45, HV=0.4654, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  37: profit_max=278.00, profit_avg=129.19, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=142.61, tasks_avg=23.33, HV=0.4650, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  38: profit_max=278.00, profit_avg=129.16, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=142.18, tasks_avg=23.30, HV=0.4651, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  39: profit_max=278.00, profit_avg=129.02, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=142.00, tasks_avg=23.27, HV=0.4651, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  40: profit_max=278.00, profit_avg=132.02, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=144.90, tasks_avg=23.83, HV=0.4653, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  41: profit_max=278.00, profit_avg=132.27, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=145.87, tasks_avg=23.88, HV=0.4670, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  42: profit_max=278.00, profit_avg=132.22, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=144.67, tasks_avg=23.79, HV=0.4688, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  43: profit_max=278.00, profit_avg=132.79, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=144.89, tasks_avg=23.83, HV=0.4687, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  44: profit_max=278.00, profit_avg=133.72, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=146.29, tasks_avg=24.00, HV=0.4687, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  45: profit_max=278.00, profit_avg=132.62, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=145.17, tasks_avg=23.84, HV=0.4685, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  46: profit_max=278.00, profit_avg=133.88, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=146.79, tasks_avg=24.07, HV=0.4722, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  47: profit_max=278.00, profit_avg=132.88, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=145.82, tasks_avg=23.92, HV=0.4721, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  48: profit_max=278.00, profit_avg=133.68, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=146.89, tasks_avg=24.06, HV=0.4721, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  49: profit_max=278.00, profit_avg=133.71, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=146.81, tasks_avg=24.06, HV=0.4721, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  50: profit_max=278.00, profit_avg=132.33, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=145.32, tasks_avg=23.79, HV=0.4756, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  51: profit_max=278.00, profit_avg=130.89, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=145.35, tasks_avg=23.66, HV=0.4735, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  52: profit_max=278.00, profit_avg=131.20, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=146.38, tasks_avg=23.73, HV=0.4765, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  53: profit_max=278.00, profit_avg=133.11, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.57, tasks_avg=24.07, HV=0.4770, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  54: profit_max=278.00, profit_avg=132.59, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=147.84, tasks_avg=23.99, HV=0.4834, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  55: profit_max=278.00, profit_avg=132.99, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.28, tasks_avg=24.08, HV=0.4835, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  56: profit_max=278.00, profit_avg=132.99, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.28, tasks_avg=24.08, HV=0.4835, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  57: profit_max=278.00, profit_avg=133.13, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=147.92, tasks_avg=24.10, HV=0.4815, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  58: profit_max=278.00, profit_avg=132.68, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.25, tasks_avg=24.05, HV=0.4808, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  59: profit_max=278.00, profit_avg=132.97, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.61, tasks_avg=24.15, HV=0.4799, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  60: profit_max=278.00, profit_avg=132.05, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=147.46, tasks_avg=23.97, HV=0.4799, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  61: profit_max=278.00, profit_avg=132.39, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=147.93, tasks_avg=24.05, HV=0.4781, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  62: profit_max=278.00, profit_avg=132.52, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.47, tasks_avg=24.11, HV=0.4760, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  63: profit_max=278.00, profit_avg=133.92, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=149.21, tasks_avg=24.30, HV=0.4761, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  64: profit_max=278.00, profit_avg=133.92, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=149.21, tasks_avg=24.30, HV=0.4761, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  65: profit_max=278.00, profit_avg=134.62, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.92, tasks_avg=24.35, HV=0.4763, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  66: profit_max=278.00, profit_avg=134.58, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=149.17, tasks_avg=24.37, HV=0.4750, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  67: profit_max=278.00, profit_avg=134.63, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=149.21, tasks_avg=24.38, HV=0.4750, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  68: profit_max=278.00, profit_avg=134.73, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.90, tasks_avg=24.41, HV=0.4784, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  69: profit_max=278.00, profit_avg=134.66, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.46, tasks_avg=24.38, HV=0.4788, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  70: profit_max=278.00, profit_avg=134.66, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.46, tasks_avg=24.36, HV=0.4802, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  71: profit_max=278.00, profit_avg=134.81, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.65, tasks_avg=24.39, HV=0.4802, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  72: profit_max=278.00, profit_avg=133.72, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=147.70, tasks_avg=24.12, HV=0.4803, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  73: profit_max=278.00, profit_avg=132.92, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=147.03, tasks_avg=24.00, HV=0.4823, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  74: profit_max=278.00, profit_avg=135.36, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=150.27, tasks_avg=24.52, HV=0.4820, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  75: profit_max=278.00, profit_avg=135.60, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=150.37, tasks_avg=24.57, HV=0.4830, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  76: profit_max=278.00, profit_avg=134.54, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=149.84, tasks_avg=24.42, HV=0.4823, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  77: profit_max=278.00, profit_avg=133.44, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=148.34, tasks_avg=24.18, HV=0.4793, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
Gen  78: profit_max=278.00, profit_avg=134.30, load_min=0.00, att_min=0.00, quality_max=292.89, quality_avg=149.98, tasks_avg=24.37, HV=0.4782, feasible ratio=1.00, Nsub=21, fea_archive=200, inf_archive=21
