ÂºÄÂßã s5_t300 / mode_sdasÔºåÊó∂Èó¥Ôºö2026-05-25T18:58:22
ÂëΩ‰ª§ F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS

========== MODE-SDAS Run 1/8 ==========
Init: HV=0.2539, feasible ratio=0.41
Gen  32: profit_max=  382.00, profit_avg=  173.68, load_min=     21.44, att_min=      0.00, quality_max=    382.71, quality_avg=    178.46, tasks_avg= 29.37, HV=0.3689, feasible ratio=1.00
Gen  33: profit_max=  382.00, profit_avg=  177.06, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    182.47, tasks_avg= 30.03, HV=0.3795, feasible ratio=1.00
Gen  34: profit_max=  382.00, profit_avg=  177.06, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    182.47, tasks_avg= 30.03, HV=0.3795, feasible ratio=1.00
Gen  35: profit_max=  382.00, profit_avg=  177.06, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    182.51, tasks_avg= 30.07, HV=0.3797, feasible ratio=1.00
Gen  36: profit_max=  382.00, profit_avg=  177.39, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    182.82, tasks_avg= 30.18, HV=0.3795, feasible ratio=1.00
Gen  37: profit_max=  382.00, profit_avg=  176.00, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    181.37, tasks_avg= 29.91, HV=0.3792, feasible ratio=1.00
Gen  38: profit_max=  382.00, profit_avg=  177.84, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    183.09, tasks_avg= 30.17, HV=0.3794, feasible ratio=1.00
Gen  39: profit_max=  382.00, profit_avg=  179.60, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    184.78, tasks_avg= 30.45, HV=0.3796, feasible ratio=1.00
Gen  40: profit_max=  382.00, profit_avg=  179.60, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    184.78, tasks_avg= 30.45, HV=0.3796, feasible ratio=1.00
Gen  41: profit_max=  382.00, profit_avg=  179.40, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    185.34, tasks_avg= 30.44, HV=0.3815, feasible ratio=1.00
Gen  42: profit_max=  382.00, profit_avg=  182.14, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    189.50, tasks_avg= 30.96, HV=0.3822, feasible ratio=1.00
Gen  43: profit_max=  382.00, profit_avg=  182.26, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    189.52, tasks_avg= 30.97, HV=0.3823, feasible ratio=1.00
Gen  44: profit_max=  382.00, profit_avg=  180.93, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    188.26, tasks_avg= 30.73, HV=0.3823, feasible ratio=1.00
Gen  45: profit_max=  382.00, profit_avg=  184.18, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    191.98, tasks_avg= 31.30, HV=0.3827, feasible ratio=1.00
Gen  46: profit_max=  382.00, profit_avg=  184.19, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    192.63, tasks_avg= 31.35, HV=0.3825, feasible ratio=1.00
Gen  47: profit_max=  382.00, profit_avg=  187.00, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    196.09, tasks_avg= 31.84, HV=0.3824, feasible ratio=1.00
Gen  48: profit_max=  382.00, profit_avg=  187.07, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    196.16, tasks_avg= 31.78, HV=0.3829, feasible ratio=1.00
Gen  49: profit_max=  382.00, profit_avg=  187.60, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    196.19, tasks_avg= 31.85, HV=0.3827, feasible ratio=1.00
Gen  50: profit_max=  382.00, profit_avg=  188.56, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    197.37, tasks_avg= 32.00, HV=0.3827, feasible ratio=1.00
Gen  51: profit_max=  382.00, profit_avg=  188.56, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    197.37, tasks_avg= 32.00, HV=0.3827, feasible ratio=1.00
Gen  52: profit_max=  382.00, profit_avg=  188.63, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    197.43, tasks_avg= 31.92, HV=0.3868, feasible ratio=1.00
Gen  53: profit_max=  390.00, profit_avg=  191.54, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    199.36, tasks_avg= 32.38, HV=0.3804, feasible ratio=1.00
Gen  54: profit_max=  390.00, profit_avg=  192.92, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    200.54, tasks_avg= 32.62, HV=0.3830, feasible ratio=1.00
Gen  55: profit_max=  390.00, profit_avg=  191.47, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    198.81, tasks_avg= 32.35, HV=0.3831, feasible ratio=1.00
Gen  56: profit_max=  413.00, profit_avg=  194.25, load_min=     21.44, att_min=      0.00, quality_max=    395.83, quality_avg=    200.60, tasks_avg= 32.84, HV=0.3961, feasible ratio=1.00
