开始 s5_t300 / mode_sdas_dual_archive，时间：2026-05-25T22:07:31
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.3074, feasible ratio=0.51
Gen  41: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3690, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  42: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3695, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  43: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3695, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  44: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3696, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  45: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3795, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  46: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3813, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  47: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3813, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  48: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3823, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  49: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3823, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  50: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3799, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  51: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3852, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  52: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3916, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  53: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3916, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  54: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3916, feasible ratio=1.00, fea_archive=200, inf_archive=91
Gen  55: profit_max=479.00 load_min=56.24, att_min=0.00, quality_max=486.57 HV=0.3917, feasible ratio=1.00, fea_archive=200, inf_archive=91
