开始 s5_t300 / mode_sdas_dpic，时间：2026-05-26T10:50:41
命令 F:\Anaconda\python.exe -u main.py


�����㷨��MODE-SDAS-DPIC Full

========== MODE-SDAS-DPIC Full Run 1/8 ==========
Init: HV=0.5693, feasible ratio=0.48
Gen  32: profit_max=373.00, profit_avg=187.78, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=188.23, tasks_avg=31.74, HV=0.3884, feasible ratio=1.00, Nsub=21
Gen  33: profit_max=373.00, profit_avg=187.78, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=188.23, tasks_avg=31.74, HV=0.3884, feasible ratio=1.00, Nsub=21
Gen  34: profit_max=373.00, profit_avg=188.39, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=188.53, tasks_avg=31.81, HV=0.3884, feasible ratio=1.00, Nsub=21
Gen  35: profit_max=373.00, profit_avg=188.40, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=188.81, tasks_avg=31.81, HV=0.3886, feasible ratio=1.00, Nsub=21
Gen  36: profit_max=373.00, profit_avg=190.26, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.23, tasks_avg=32.12, HV=0.3958, feasible ratio=1.00, Nsub=21
Gen  37: profit_max=373.00, profit_avg=190.45, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.35, tasks_avg=32.12, HV=0.3961, feasible ratio=1.00, Nsub=21
Gen  38: profit_max=373.00, profit_avg=190.45, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.35, tasks_avg=32.12, HV=0.3961, feasible ratio=1.00, Nsub=21
Gen  39: profit_max=373.00, profit_avg=191.57, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=192.65, tasks_avg=32.32, HV=0.3962, feasible ratio=1.00, Nsub=21
Gen  40: profit_max=373.00, profit_avg=191.80, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=193.20, tasks_avg=32.38, HV=0.3995, feasible ratio=1.00, Nsub=21
Gen  41: profit_max=373.00, profit_avg=188.85, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=190.12, tasks_avg=31.87, HV=0.3997, feasible ratio=1.00, Nsub=21
Gen  42: profit_max=373.00, profit_avg=192.14, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=192.22, tasks_avg=32.40, HV=0.4027, feasible ratio=1.00, Nsub=21
Gen  43: profit_max=373.00, profit_avg=193.11, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=192.73, tasks_avg=32.58, HV=0.4029, feasible ratio=1.00, Nsub=21
Gen  44: profit_max=373.00, profit_avg=192.92, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.79, tasks_avg=32.52, HV=0.4006, feasible ratio=1.00, Nsub=21
Gen  45: profit_max=373.00, profit_avg=192.92, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.79, tasks_avg=32.52, HV=0.4006, feasible ratio=1.00, Nsub=21
Gen  46: profit_max=373.00, profit_avg=193.16, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.64, tasks_avg=32.51, HV=0.4008, feasible ratio=1.00, Nsub=21
Gen  47: profit_max=373.00, profit_avg=193.16, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.64, tasks_avg=32.51, HV=0.4008, feasible ratio=1.00, Nsub=21
Gen  48: profit_max=373.00, profit_avg=193.95, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.68, tasks_avg=32.62, HV=0.4008, feasible ratio=1.00, Nsub=21
Gen  49: profit_max=373.00, profit_avg=194.06, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=191.98, tasks_avg=32.67, HV=0.4352, feasible ratio=1.00, Nsub=21
Gen  50: profit_max=373.00, profit_avg=194.53, load_min=43.76, att_min=0.00, quality_max=383.40, quality_avg=192.48, tasks_avg=32.69, HV=0.4352, feasible ratio=1.00, Nsub=21
Gen  51: profit_max=419.00, profit_avg=197.23, load_min=43.76, att_min=0.00, quality_max=490.28, quality_avg=195.38, tasks_avg=33.15, HV=0.3206, feasible ratio=1.00, Nsub=21
Gen  52: profit_max=419.00, profit_avg=196.90, load_min=43.76, att_min=0.00, quality_max=490.28, quality_avg=195.45, tasks_avg=33.15, HV=0.3206, feasible ratio=1.00, Nsub=21
Gen  53: profit_max=419.00, profit_avg=196.90, load_min=43.76, att_min=0.00, quality_max=490.28, quality_avg=195.45, tasks_avg=33.15, HV=0.3206, feasible ratio=1.00, Nsub=21
Gen  54: profit_max=419.00, profit_avg=198.23, load_min=43.76, att_min=0.00, quality_max=490.28, quality_avg=196.32, tasks_avg=33.33, HV=0.3206, feasible ratio=1.00, Nsub=21
Gen  55: profit_max=419.00, profit_avg=201.26, load_min=43.76, att_min=0.00, quality_max=490.28, quality_avg=199.50, tasks_avg=33.88, HV=0.3225, feasible ratio=1.00, Nsub=21
Gen  56: profit_max=419.00, profit_avg=201.26, load_min=43.76, att_min=0.00, quality_max=490.28, quality_avg=199.50, tasks_avg=33.88, HV=0.3225, feasible ratio=1.00, Nsub=21
Gen  57: profit_max=419.00, profit_avg=201.69, load_min=43.76, att_min=0.00, quality_max=490.28, quality_avg=200.64, tasks_avg=33.95, HV=0.3238, feasible ratio=1.00, Nsub=21
Gen  58: profit_max=419.00, profit_avg=201.76, load_min=43.76, att_min=0.00, quality_max=490.28, quality_avg=199.79, tasks_avg=33.92, HV=0.3338, feasible ratio=1.00, Nsub=21
Gen  59: profit_max=419.00, profit_avg=202.62, load_min=43.76, att_min=0.00, quality_max=490.28, quality_avg=200.27, tasks_avg=34.02, HV=0.3339, feasible ratio=1.00, Nsub=21
Gen  60: profit_max=419.00, profit_avg=201.72, load_min=43.76, att_min=0.00, quality_max=490.28, quality_avg=199.90, tasks_avg=33.89, HV=0.3339, feasible ratio=1.00, Nsub=21
Gen  61: profit_max=447.00, profit_avg=207.24, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=206.46, tasks_avg=34.96, HV=0.3152, feasible ratio=1.00, Nsub=21
Gen  62: profit_max=447.00, profit_avg=207.24, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=206.46, tasks_avg=34.96, HV=0.3152, feasible ratio=1.00, Nsub=21
Gen  63: profit_max=447.00, profit_avg=207.88, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=206.68, tasks_avg=35.07, HV=0.3161, feasible ratio=1.00, Nsub=21
Gen  64: profit_max=447.00, profit_avg=207.88, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=206.68, tasks_avg=35.07, HV=0.3161, feasible ratio=1.00, Nsub=21
Gen  65: profit_max=447.00, profit_avg=209.52, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=209.81, tasks_avg=35.40, HV=0.3166, feasible ratio=1.00, Nsub=21
Gen  66: profit_max=447.00, profit_avg=211.17, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=210.98, tasks_avg=35.61, HV=0.3168, feasible ratio=1.00, Nsub=21
Gen  67: profit_max=447.00, profit_avg=211.97, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=211.94, tasks_avg=35.75, HV=0.3168, feasible ratio=1.00, Nsub=21
Gen  68: profit_max=447.00, profit_avg=211.91, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=211.08, tasks_avg=35.73, HV=0.3193, feasible ratio=1.00, Nsub=21
Gen  69: profit_max=447.00, profit_avg=211.91, load_min=43.76, att_min=0.00, quality_max=540.32, quality_avg=211.08, tasks_avg=35.73, HV=0.3193, feasible ratio=1.00, Nsub=21
