START s5_t300 / mode_sdas_dual_archive: 2026-05-28T00:13:21
COMMAND F:\Anaconda\python.exe -u main.py


‘À––À„∑®£∫MODE-SDAS + Dual Archive

========== MODE-SDAS + Dual Archive Run 1/8 ==========
Init: HV=0.4298, feasible ratio=0.41
Gen  41: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3316, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  42: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3313, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  43: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3316, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  44: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3318, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  45: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3317, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  46: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3316, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  47: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3338, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  48: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3351, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  49: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3346, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  50: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3346, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  51: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3345, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  52: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3347, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  53: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3347, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  54: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3357, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  55: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3360, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  56: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3352, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  57: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3352, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  58: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3358, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  59: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3372, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  60: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3374, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  61: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3374, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  62: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3374, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  63: profit_max=407.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3373, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  64: profit_max=411.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3375, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  65: profit_max=411.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3379, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  66: profit_max=411.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3379, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  67: profit_max=411.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3403, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  68: profit_max=411.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3390, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  69: profit_max=411.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3396, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  70: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3747, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  71: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3749, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  72: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3749, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  73: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3754, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  74: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3759, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  75: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3758, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  76: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3758, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  77: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3758, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  78: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3758, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  79: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3758, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  80: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3758, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  81: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3759, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  82: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3769, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  83: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3769, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  84: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3772, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  85: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3786, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  86: profit_max=416.00 load_min=85.84, att_min=0.00, quality_max=480.71 HV=0.3786, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  87: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3679, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  88: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3713, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  89: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3711, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  90: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3711, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  91: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3715, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  92: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3715, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  93: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3715, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  94: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3715, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  95: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3715, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  96: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3728, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  97: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3728, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  98: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3731, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen  99: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3731, feasible ratio=1.00, fea_archive=200, inf_archive=158
Gen 100: profit_max=424.00 load_min=85.84, att_min=0.00, quality_max=502.46 HV=0.3731, feasible ratio=1.00, fea_archive=200, inf_archive=158
Final feasible solutions used for summary/HV: 100/100
Run 1 best: profit=424.0, load=85.84, att=0.00, quality=502.46

========== MODE-SDAS + Dual Archive Run 2/8 ==========
Init: HV=0.3777, feasible ratio=0.54
Gen   1: profit_max=159.00 load_min=52.16, att_min=0.00, quality_max=171.76 HV=0.3222, feasible ratio=0.75, fea_archive=129, inf_archive=71
